graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
:EaqIAcRPN,6 / 10,"5,4,3,3,3,2",2 / 2,4,1.41421,1,32 / 80,5 - 5 - 5,1,120
:EaqIQ_RPN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.7975,1,32 / 80,5 - 5 - 5,1,120
:EaqIb_PPN,6 / 10,"5,4,3,3,3,2",1 / 2,3,0.682163,0.666667,32 / 80,5 - 5 - 5,1,120
:EaqgwCQLN,6 / 10,"6,3,3,3,3,2",1 / 2,3,1.92193,1,48 / 144,6 - 6 - 6,3,160
:Eaq_QcbLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.93496,1,32 / 80,5 - 5 - 5,1,120
:EaqcQ_bLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.79749,1,32 / 80,5 - 5 - 5,1,120
:Eaq_acRLN,6 / 10,"5,4,3,3,3,2",2 / 2,4,1.41421,1,32 / 80,5 - 5 - 5,1,120
:Eaqca_RLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.7975,1.33333,32 / 80,5 - 5 - 5,1,120
:Eaq_bcQLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.23607,1.33333,48 / 144,6 - 6 - 6,3,160
E`^w,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.45167,1.33333,48 / 144,6 - 6 - 6,3,160
:Eaqgb_PLN,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.33529,0.666667,32 / 80,5 - 5 - 5,1,120
:Eb?CbcaK~,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.94324,1,32 / 80,5 - 5 - 5,1,120
:Eb@Cb_aK~,6 / 10,"5,4,3,3,3,2",2 / 2,4,1.61852,1,32 / 80,5 - 5 - 5,1,120
:Eb?GbcQK~,6 / 10,"5,4,3,3,3,2",2 / 2,4,1.61852,1,32 / 80,5 - 5 - 5,1,120
:Eb@Gb_QK~,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:EbAGr_PG~,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.23913,0.666667,32 / 80,5 - 5 - 5,1,120
:EaoChIbPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.931,1,32 / 80,5 - 5 - 5,1,120
:EaoCiIRPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.7975,1,32 / 80,5 - 5 - 5,1,120
:EapCgIbPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.79129,1,32 / 80,5 - 5 - 5,1,120
:EapCiIBPN,6 / 10,"4,4,4,3,3,2",2 / 2,4,1.41421,1,32 / 80,5 - 5 - 5,1,120
:EaoGhEbPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:EaoGhIRPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.0308,1,32 / 80,5 - 5 - 5,1,120
:EapGgEbPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.31784,1,32 / 80,5 - 5 - 5,1,120
:EapGgIRPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.0308,1.33333,32 / 80,5 - 5 - 5,1,120
:EapGhIBPN,6 / 10,"4,4,4,3,3,2",2 / 2,4,2,1.33333,32 / 80,5 - 5 - 5,1,120
:EaoEQMaLN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.93496,1,32 / 80,5 - 5 - 5,1,120
:EaoIPMaLN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.7975,1,32 / 80,5 - 5 - 5,1,120
Ed\w,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.76794,1.5,48 / 144,6 - 6 - 6,3,160
:EgPeg?rPN,6 / 10,"6,3,3,3,3,2",1 / 2,5,1.11491,1,32 / 80,5 - 5 - 5,1,120
:EgPew?bPN,6 / 10,"6,3,3,3,3,2",1 / 2,3,1.83296,1,32 / 80,5 - 5 - 5,1,120
:EgPe?grPN,6 / 10,"5,4,3,3,3,2",1 / 2,4,1.0493,1,32 / 80,5 - 5 - 5,1,120
:EgPeA_rPN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:EgPeB_bPN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.7975,1,32 / 80,5 - 5 - 5,1,120
:EgPeb_BPN,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.56155,1,32 / 80,5 - 5 - 5,1,120
:EgPer_APN,6 / 10,"5,4,3,3,3,2",1 / 2,5,1.11491,1,32 / 80,5 - 5 - 5,1,120
:EgPor_@Gs,6 / 10,"6,3,3,3,3,2",1 / 2,3,1.70928,1,32 / 80,5 - 5 - 5,1,120
:EgPo?MQKs,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.39891,1,32 / 80,5 - 5 - 5,1,120
:EgPo@MAKs,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.09715,1,32 / 80,5 - 5 - 5,1,120
:EgPoQM?Ks,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.39891,0.666667,32 / 80,5 - 5 - 5,1,120
:EgPoBM@Gs,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.78814,1,32 / 80,5 - 5 - 5,1,120
:EgPoRM?Gs,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.83296,1,32 / 80,5 - 5 - 5,1,120
:EgP_HIrPN,6 / 10,"4,4,4,3,3,2",1 / 2,3,0.867919,0.666667,32 / 80,5 - 5 - 5,1,120
:EgP_HMbPN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.56155,1,32 / 80,5 - 5 - 5,1,120
:EgP_WIrPN,6 / 10,"4,4,4,3,3,2",2 / 2,4,1.61852,1,32 / 80,5 - 5 - 5,1,120
:EgP_WMbPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.7975,1,32 / 80,5 - 5 - 5,1,120
:EgPaQMBLN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.33529,0.666667,32 / 80,5 - 5 - 5,1,120
:EgXIW?bPN,6 / 10,"6,3,3,3,3,2",1 / 2,3,2.2055,1,48 / 144,6 - 6 - 6,3,160
:EgXI?cbPN,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.97962,1,48 / 144,6 - 6 - 6,3,160
:EgXI@_bPN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.931,1,48 / 144,6 - 6 - 6,3,160
:EgXIQ_BPN,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.89511,1,48 / 144,6 - 6 - 6,3,160
:EgXgw?QLN,6 / 10,"6,3,3,3,3,2",1 / 2,3,2.96548,1.66667,56 / 156,5 - 5.57143 - 6,1,120
:EgX_@gbLN,6 / 10,"5,4,3,3,3,2",1 / 2,4,1.73205,1,32 / 80,5 - 5 - 5,1,120
:EgX_AcbLN,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.93898,1,32 / 80,5 - 5 - 5,1,120
:EgX_Q_bLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.44098,1.33333,48 / 144,6 - 6 - 6,3,160
:EgX_a_RLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.81361,1,32 / 80,5 - 5 - 5,1,120
:EgXca_BLN,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.45701,0.666667,32 / 80,5 - 5 - 5,1,120
EInw,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.84462,1.66667,56 / 156,5 - 5.57143 - 6,1,100
:EgXcb_ALN,6 / 10,"5,4,3,3,3,2",1 / 2,3,2.56009,1.33333,56 / 156,5 - 5.57143 - 6,1,120
:EgXgb_@LN,6 / 10,"5,4,3,3,3,2",1 / 2,3,2.27905,1.33333,48 / 144,6 - 6 - 6,3,160
:Eg[?@MQGr,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.45701,1,32 / 80,5 - 5 - 5,1,120
:Eg[?PMAGr,6 / 10,"5,4,3,3,3,2",2 / 2,4,1.61852,1,32 / 80,5 - 5 - 5,1,120
:Eg[?QM@Gr,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.65647,1.33333,48 / 144,6 - 6 - 6,3,160
:Eg[CQM?Gr,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.45701,0.666667,32 / 80,5 - 5 - 5,1,120
:Eg[?RM@Gb,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.94324,1,32 / 80,5 - 5 - 5,1,120
:Eg[CRM?Gb,6 / 10,"5,4,3,3,3,2",1 / 2,5,1.11491,0.666667,32 / 80,5 - 5 - 5,1,120
:Eg[CbM?Cb,6 / 10,"5,4,3,3,3,2",1 / 2,3,2.2055,1.33333,48 / 144,6 - 6 - 6,3,160
:EgW?XIbPN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.89511,1,32 / 80,5 - 5 - 5,1,120
:EgW?YIRPN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.56155,1,32 / 80,5 - 5 - 5,1,120
:EgWCWIbPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.03079,1,32 / 80,5 - 5 - 5,1,120
:EgWCYIBPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:EgWCgEbPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.39019,1.33333,48 / 144,6 - 6 - 6,3,160
:EgWChIBPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.931,1.33333,48 / 144,6 - 6 - 6,3,160
:EgXCgAbPN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.44469,0.666667,32 / 80,5 - 5 - 5,1,120
:EgWAPMaLN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.56155,1,32 / 80,5 - 5 - 5,1,120
:EgWAQMQLN,6 / 10,"4,4,4,3,3,2",1 / 2,3,2.35386,1,48 / 144,6 - 6 - 6,3,160
:EgWEQIBLN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.31784,0.666667,32 / 80,5 - 5 - 5,1,120
:EgWE@MaLN,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.3541,1.33333,48 / 144,6 - 6 - 6,3,160
EMlw,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.55518,1.33333,56 / 156,5 - 5.57143 - 6,1,100
:Ek?ChEaPN,6 / 10,"4,4,4,3,3,2",1 / 2,5,1.11491,1,32 / 80,5 - 5 - 5,1,120
:Ek?ChIQPN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.89511,1,32 / 80,5 - 5 - 5,1,120
:Ek@CgEaPN,6 / 10,"4,4,4,3,3,2",2 / 2,4,1.61852,1,32 / 80,5 - 5 - 5,1,120
:Ek@CgIQPN,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.0308,1,32 / 80,5 - 5 - 5,1,120
:EkPGgAQPN,6 / 10,"4,4,4,3,3,2",1 / 2,4,1.04929,0.666667,32 / 80,5 - 5 - 5,1,120
:Ek?EPIaLN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.45701,1,32 / 80,5 - 5 - 5,1,120
:Ek?EQIQLN,6 / 10,"4,4,4,3,3,2",1 / 2,3,1.93898,1,32 / 80,5 - 5 - 5,1,120
:Ek@EAIQLN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.81361,1,32 / 80,5 - 5 - 5,1,120
:Ek@EQIALN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.81361,1,32 / 80,5 - 5 - 5,1,120
:Ek@I@EaLN,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.94324,1,32 / 80,5 - 5 - 5,1,120
EFxw,6 / 10,"4,4,4,3,3,2",2 / 2,3,3.11154,1.66667,56 / 156,5 - 5.57143 - 6,1,100
:Ek@IPIALN,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.44098,1.33333,48 / 144,6 - 6 - 6,3,160
:EkPIQI?LN,6 / 10,"4,4,4,3,3,2",1 / 2,4,1.73205,1,32 / 80,5 - 5 - 5,1,120
:Ek@cQIAK~,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.29972,0.666667,32 / 80,5 - 5 - 5,1,120
:E_GeaksR,6 / 10,"4,4,3,3,3,3",2 / 2,6,1,1,32 / 80,5 - 5 - 5,1,120
:E_GebgsR,6 / 10,"4,4,3,3,3,3",2 / 2,3,1.79129,1,32 / 80,5 - 5 - 5,1,120
:E_GibcsR,6 / 10,"4,4,3,3,3,3",2 / 2,3,1.79129,1,32 / 80,5 - 5 - 5,1,120
:E_GirccR,6 / 10,"4,4,3,3,3,3",2 / 2,4,1.41421,1,32 / 80,5 - 5 - 5,1,120
:E_GoQMbLN,6 / 10,"4,4,3,3,3,3",2 / 2,3,1.79749,1,32 / 80,5 - 5 - 5,1,120
:E_GoRMaLN,6 / 10,"4,4,3,3,3,3",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:E_JGgEbPN,6 / 10,"4,4,3,3,3,3",1 / 2,3,0.682163,0.666667,32 / 80,5 - 5 - 5,1,120
:E_JGgIRPN,6 / 10,"4,4,3,3,3,3",2 / 2,4,1.41421,1,32 / 80,5 - 5 - 5,1,120
:E_JI@IbLN,6 / 10,"4,4,3,3,3,3",1 / 2,3,1.33529,0.666667,32 / 80,5 - 5 - 5,1,120
:E_JIAIRLN,6 / 10,"4,4,3,3,3,3",2 / 2,4,1.41421,1,32 / 80,5 - 5 - 5,1,120
:E_JIAMQLN,6 / 10,"4,4,3,3,3,3",2 / 2,3,2.23607,1,48 / 144,6 - 6 - 6,3,160
:Ea@aRgsR,6 / 10,"4,4,3,3,3,3",3 / 3,3,2,1,48 / 144,6 - 6 - 6,3,160
:Ea@arccR,6 / 10,"4,4,3,3,3,3",2 / 3,3,1.79129,1,48 / 144,6 - 6 - 6,3,160
:Ea@or_QLN,6 / 10,"5,3,3,3,3,3",1 / 2,3,1.92193,1,48 / 144,6 - 6 - 6,3,160
:Ea@oBMQLN,6 / 10,"4,4,3,3,3,3",2 / 3,3,1.931,1,48 / 144,6 - 6 - 6,3,160
:EaHI@gsR,6 / 10,"4,4,3,3,3,3",3 / 3,3,2,1.33333,56 / 156,5 - 5.57143 - 6,1,100
:EaHIQ_sR,6 / 10,"4,4,3,3,3,3",3 / 3,4,3,1.66667,56 / 156,5 - 5.57143 - 6,1,100
:EaGcQgrR,6 / 10,"4,4,3,3,3,3",2 / 3,3,2.0308,1.33333,48 / 144,6 - 6 - 6,3,160
Es\w,6 / 10,"4,4,3,3,3,3",3 / 3,3,3.06695,1.66667,72 / 204,5 - 5.66667 - 6,2,82
EqNw,6 / 10,"5,3,3,3,3,3",3 / 3,3,2.83146,1.66667,60 / 160,5 - 5.33333 - 6,1,108
:EaH_QgrR,6 / 10,"4,4,3,3,3,3",2 / 3,3,2.36901,1.33333,56 / 156,5 - 5.57143 - 6,1,120
:EaH_acrR,6 / 10,"4,4,3,3,3,3",2 / 2,3,1.31784,0.666667,32 / 80,5 - 5 - 5,1,120
:EaHca_rR,6 / 10,"4,4,3,3,3,3",2 / 3,4,2,1.33333,48 / 144,6 - 6 - 6,3,160
Eqlw,6 / 10,"4,4,3,3,3,3",3 / 3,3,2.58655,1.33333,68 / 194,4 - 5.70588 - 7,2,88
:Eaq_Q_QK~,6 / 10,"5,3,3,3,3,3",2 / 3,3,1.931,1,48 / 144,6 - 6 - 6,3,160
:Eaq_@IQK~,6 / 10,"4,4,3,3,3,3",2 / 2,3,1.31784,0.666667,32 / 80,5 - 5 - 5,1,120
:Eaq_AIPK~,6 / 10,"4,4,3,3,3,3",2 / 2,6,1,0.666667,32 / 80,5 - 5 - 5,1,120
:Eaq_QI@K~,6 / 10,"4,4,3,3,3,3",2 / 3,3,1.79129,1.33333,48 / 144,6 - 6 - 6,3,160
E`~o,6 / 10,"4,4,3,3,3,3",2 / 3,3,2.37228,1.33333,72 / 224,4 - 6.22222 - 7,8,144
:Ek?_QcQG~,6 / 10,"5,3,3,3,3,3",2 / 2,4,1.61852,1,32 / 80,5 - 5 - 5,1,120
:Ek?cQ_QG~,6 / 10,"5,3,3,3,3,3",1 / 2,3,1.23913,1,32 / 80,5 - 5 - 5,1,120
:Ek?_PIQG~,6 / 10,"4,4,3,3,3,3",2 / 2,4,1.61852,1,32 / 80,5 - 5 - 5,1,120
:Ek?cQI@G~,6 / 10,"4,4,3,3,3,3",1 / 2,3,1.23913,0.666667,32 / 80,5 - 5 - 5,1,120
:Ek@_AcQG~,6 / 10,"5,3,3,3,3,3",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:Ek@_Q_QG~,6 / 10,"5,3,3,3,3,3",2 / 3,3,2.39019,1.66667,56 / 156,5 - 5.57143 - 6,1,120
:Ek@_a_PG~,6 / 10,"5,3,3,3,3,3",2 / 2,3,1.7975,1,32 / 80,5 - 5 - 5,1,120
:Ek@_b_PGn,6 / 10,"5,3,3,3,3,3",2 / 3,3,2.03079,1,48 / 144,6 - 6 - 6,3,160
:Ek@_@IQG~,6 / 10,"4,4,3,3,3,3",2 / 3,3,2.0308,1.33333,48 / 144,6 - 6 - 6,3,160
:Ek@_AMPGn,6 / 10,"4,4,3,3,3,3",2 / 2,3,1.29972,0.666667,32 / 80,5 - 5 - 5,1,120
:Ek@_QM@Gn,6 / 10,"4,4,3,3,3,3",2 / 3,3,2.39019,1.33333,56 / 156,5 - 5.57143 - 6,1,100
