graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
:EgK?rcQGs,6 / 10,"6,4,3,3,2,2",1 / 2,3,1.83296,1,32 / 80,5 - 5 - 5,1,120
:EgKCr_QGs,6 / 10,"6,4,3,3,2,2",1 / 2,3,1.78814,1,32 / 80,5 - 5 - 5,1,120
:EgKGr_PGs,6 / 10,"6,4,3,3,2,2",1 / 2,3,2.4257,1.33333,32 / 80,5 - 5 - 5,1,120
:EgK?PMaKs,6 / 10,"5,5,3,3,2,2",1 / 2,3,1.83296,1,32 / 80,5 - 5 - 5,1,120
:EgK?QMQKs,6 / 10,"5,5,3,3,2,2",2 / 2,3,2.50952,1.33333,32 / 80,5 - 5 - 5,1,120
:EgKCQMAKs,6 / 10,"5,5,3,3,2,2",1 / 2,3,2.16619,1.33333,32 / 80,5 - 5 - 5,1,120
:EgK?RMQGs,6 / 10,"5,5,3,3,2,2",2 / 2,3,2.09715,1.33333,32 / 80,5 - 5 - 5,1,120
:EgKCRMAGs,6 / 10,"5,5,3,3,2,2",1 / 2,3,1.39891,0.666667,32 / 80,5 - 5 - 5,1,120
:EgGERgbPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.79749,1.33333,32 / 80,5 - 5 - 5,1,120
:EgGErcaPN,6 / 10,"5,4,4,3,2,2",2 / 2,4,1.61852,1.33333,32 / 80,5 - 5 - 5,1,120
:EgHEBgbPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.56155,1,32 / 80,5 - 5 - 5,1,120
:EgHEr_aPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,0.867919,0.666667,32 / 80,5 - 5 - 5,1,120
:EgGIPgrPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.44469,1,32 / 80,5 - 5 - 5,1,120
:EgGIQcrPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.31784,1,32 / 80,5 - 5 - 5,1,120
:EgGIRcbPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.93496,1,32 / 80,5 - 5 - 5,1,120
:EgGIbcRPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.93898,1,32 / 80,5 - 5 - 5,1,120
:EgGIrcQPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.45701,1,32 / 80,5 - 5 - 5,1,120
:EgHI@grPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.03079,1.33333,32 / 80,5 - 5 - 5,1,120
:EgHIQ_rPN,6 / 10,"5,4,4,3,2,2",2 / 2,4,2,1.5,32 / 80,5 - 5 - 5,1,120
:EgHIBcbPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.3541,1.5,32 / 80,5 - 5 - 5,1,120
:EgHIR_bPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.93496,1.33333,32 / 80,5 - 5 - 5,1,120
:EgHIb_RPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.44098,1.5,32 / 80,5 - 5 - 5,1,120
:EgHIr_QPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:EgII@crPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:EgIIP_rPN,6 / 10,"5,4,4,3,2,2",1 / 2,4,1.0493,1,32 / 80,5 - 5 - 5,1,120
:EgIIBcRPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.56155,1,32 / 80,5 - 5 - 5,1,120
:EgIIR_RPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.79749,1,32 / 80,5 - 5 - 5,1,120
:EgIIr_PPN,6 / 10,"5,4,4,3,2,2",1 / 2,5,1.11491,1,32 / 80,5 - 5 - 5,1,120
:EgGcrcaLN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.79749,1.33333,32 / 80,5 - 5 - 5,1,120
:EgHcr_aLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.33529,0.666667,32 / 80,5 - 5 - 5,1,120
:EgI_RcbLN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.44098,1.33333,32 / 80,5 - 5 - 5,1,120
:EgIcR_bLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.93898,1,32 / 80,5 - 5 - 5,1,120
:EgI_rcQLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,2.27905,1.33333,32 / 80,5 - 5 - 5,1,120
:EgIcr_QLN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.22274,1.33333,32 / 80,5 - 5 - 5,1,120
:EgIgr_PLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,2.2055,1,32 / 80,5 - 5 - 5,1,120
:Eka_HCbPN,6 / 10,"6,4,3,3,2,2",1 / 2,3,1.37988,1,32 / 80,5 - 5 - 5,1,120
:Eka_WCbPN,6 / 10,"6,4,3,3,2,2",1 / 2,3,1.78814,1,32 / 80,5 - 5 - 5,1,120
:Eka_gCRPN,6 / 10,"6,4,3,3,2,2",1 / 2,3,1.83296,1,32 / 80,5 - 5 - 5,1,120
:Ekagw?PPN,6 / 10,"6,4,3,3,2,2",1 / 2,3,0.960984,0.666667,32 / 80,5 - 5 - 5,1,120
:Eka_@cbPN,6 / 10,"5,5,3,3,2,2",1 / 2,3,1.39891,1,32 / 80,5 - 5 - 5,1,120
:Eka_AcRPN,6 / 10,"5,5,3,3,2,2",1 / 2,4,1.44504,1,32 / 80,5 - 5 - 5,1,120
:Eka_Q_RPN,6 / 10,"5,5,3,3,2,2",2 / 2,3,2.09715,1,32 / 80,5 - 5 - 5,1,120
:EkiM?CQLN,6 / 10,"7,3,3,3,2,2",1 / 2,3,2.49905,1,48 / 144,6 - 6 - 6,3,160
:Ekg?hCbLN,6 / 10,"6,4,3,3,2,2",1 / 2,3,1.98104,1,32 / 80,5 - 5 - 5,1,120
:EkgCgCbLN,6 / 10,"6,4,3,3,2,2",2 / 2,3,2.50952,1.33333,32 / 80,5 - 5 - 5,1,120
:EkgGgCRLN,6 / 10,"6,4,3,3,2,2",1 / 2,3,1.83296,1,32 / 80,5 - 5 - 5,1,120
:EkgGwCQLN,6 / 10,"6,4,3,3,2,2",1 / 2,3,2.91396,1.33333,48 / 144,6 - 6 - 6,3,160
:EkiGw?PLN,6 / 10,"6,4,3,3,2,2",1 / 2,3,1.73205,0.666667,32 / 80,5 - 5 - 5,1,120
:Ekg?QcbLN,6 / 10,"5,5,3,3,2,2",1 / 2,3,2.16619,1,32 / 80,5 - 5 - 5,1,120
:Ekg?acRLN,6 / 10,"5,5,3,3,2,2",1 / 2,4,1.44504,0.666667,32 / 80,5 - 5 - 5,1,120
:EkgCa_RLN,6 / 10,"5,5,3,3,2,2",2 / 2,3,2.09715,1.33333,32 / 80,5 - 5 - 5,1,120
:Ekg?bcQLN,6 / 10,"5,5,3,3,2,2",1 / 2,3,2.54621,1.33333,48 / 144,6 - 6 - 6,3,160
E@~w,6 / 10,"5,5,3,3,2,2",2 / 2,3,3.11106,1.66667,48 / 144,6 - 6 - 6,3,160
:EoAM@CaK~,6 / 10,"7,3,3,3,2,2",1 / 2,4,1.8804,1.33333,32 / 80,5 - 5 - 5,1,120
:EoaM?CQK~,6 / 10,"7,3,3,3,2,2",1 / 2,4,1.41421,1,32 / 80,5 - 5 - 5,1,120
:Eo?GxCaK~,6 / 10,"6,4,3,3,2,2",1 / 2,4,1.23607,1,32 / 80,5 - 5 - 5,1,120
:Eo@GwCaK~,6 / 10,"6,4,3,3,2,2",2 / 2,4,2.82843,1.33333,32 / 80,5 - 5 - 5,1,120
:EoAGwCQK~,6 / 10,"6,4,3,3,2,2",1 / 2,4,1.8804,1,32 / 80,5 - 5 - 5,1,120
:EoaKw?PG~,6 / 10,"6,4,3,3,2,2",1 / 2,4,1.41421,0.666667,32 / 80,5 - 5 - 5,1,120
:Eo?GbcQK~,6 / 10,"5,5,3,3,2,2",1 / 2,4,1.23607,0.666667,32 / 80,5 - 5 - 5,1,120
:Eo@Gb_QK~,6 / 10,"5,5,3,3,2,2",2 / 2,4,2.82843,1.33333,32 / 80,5 - 5 - 5,1,120
:EoAGr_PG~,6 / 10,"5,5,3,3,2,2",1 / 2,4,1.8804,1,32 / 80,5 - 5 - 5,1,120
:Ek?IPgbPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.23462,1,32 / 80,5 - 5 - 5,1,120
:Ek?IQcbPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.93898,1,32 / 80,5 - 5 - 5,1,120
