graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
DV{,5 / 8,"4,4,3,3,2",2 / 2,3,2.96548,2,24 / 60,5 - 5 - 5,3,32
D]{,5 / 8,"4,3,3,3,3",3 / 3,3,3.23607,2,28 / 64,4 - 4.57143 - 5,1,24
