graph,num_vertex,num_edge,degrees,girth,vertex_conn,edge_conn,components,components1,components2,tau_num_vertex,tau_num_edge,tau_min_degree,tau_max_degree,tau_avg_degree,tau_regularity,min_UECBOs,spectral_gap,expansion
EC~w,6,10,"5,5,3,3,2,2",3,2,2,1,3,3,48,144,6,6,6,6,160,3.11106,1.66667
EEzw,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,56,156,5,6,5.57143,-1,100,2.84462,1.66667
EEnw,6,10,"5,4,4,3,2,2",3,2,2,1,3,3,48,144,6,6,6,6,160,2.97458,1.66667
EFzo,6,10,"4,4,3,3,3,3",3,3,3,1,2,2,72,204,5,6,5.66667,-1,82,3.06695,1.66667
EFzW,6,10,"4,4,4,3,3,2",3,2,2,1,1,1,56,156,5,6,5.57143,-1,100,3.11154,1.66667
EQzw,6,10,"5,4,3,3,3,2",3,2,2,1,3,3,48,144,6,6,6,6,160,2.45167,1.33333
EQ~o,6,10,"4,4,3,3,3,3",3,2,3,1,8,8,72,224,4,7,6.22222,-1,144,2.37228,1.33333
EUZw,6,10,"5,3,3,3,3,3",3,3,3,1,1,1,60,160,5,6,5.33333,-1,108,2.83146,1.66667
EUzo,6,10,"4,4,3,3,3,3",3,3,3,1,2,2,68,194,4,7,5.70588,-1,108,2.58655,1.33333
EUzW,6,10,"4,4,4,3,3,2",3,2,2,1,1,1,56,156,5,6,5.57143,-1,100,2.55518,1.33333
ETzo,6,10,"4,4,4,3,3,2",3,2,2,1,3,3,48,144,6,6,6,6,160,2.76794,1.5
ETzg,6,10,"4,4,4,4,2,2",3,2,2,1,3,3,48,144,6,6,6,6,160,2.56155,1.33333
