graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
FCZ^o,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.32885,1.33333,144 / 520,5 - 7.22222 - 8,8,192
FCZ^g,7 / 12,"5,5,3,3,3,3,2",2 / 2,3,2.42393,1.33333,96 / 336,7 - 7 - 7,3,960
FCZ\w,7 / 12,"5,5,4,3,3,2,2",2 / 2,3,2.49656,1.33333,96 / 336,7 - 7 - 7,3,960
FCfvo,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.6834,1.33333,96 / 336,7 - 7 - 7,3,960
FCfvg,7 / 12,"5,5,4,4,2,2,2",2 / 2,3,2.55703,1.33333,96 / 336,7 - 7 - 7,3,960
FCfvW,7 / 12,"5,5,4,3,3,2,2",2 / 2,3,2.51534,1.33333,112 / 368,6 - 6.57143 - 7,1,720
FCzfo,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.72617,1.66667,144 / 480,6 - 6.66667 - 7,2,636
FCzew,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.74802,1.66667,112 / 368,6 - 6.57143 - 7,1,600
FCzbw,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.81207,1.5,112 / 368,6 - 6.57143 - 7,1,600
FCxvo,7 / 12,"5,4,3,3,3,3,3",3 / 3,3,2.70417,1.66667,160 / 524,6 - 6.55 - 8,1,514
FCxvW,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.81865,1.5,112 / 368,6 - 6.57143 - 7,1,600
FCxuw,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.73771,1.66667,120 / 380,6 - 6.33333 - 7,1,648
FCzro,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.36151,1.33333,184 / 628,5 - 6.82609 - 8,2,246
FCvfo,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.56185,1.33333,96 / 336,7 - 7 - 7,3,960
FCvfg,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.35531,1.33333,136 / 456,5 - 6.70588 - 8,2,240
FCvfW,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.4094,1.33333,112 / 368,6 - 6.57143 - 7,1,720
FCvdw,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.59937,1.33333,96 / 336,7 - 7 - 7,3,960
FCvbw,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.39302,1.33333,136 / 456,5 - 6.70588 - 8,2,540
FCuvo,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.60377,1.5,96 / 336,7 - 7 - 7,3,960
FCuvW,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.67579,1.66667,112 / 368,6 - 6.57143 - 7,1,600
FEhfw,7 / 12,"6,3,3,3,3,3,3",3 / 3,3,2.64575,1.66667,124 / 384,6 - 6.19355 - 7,1,624
FEjfo,7 / 12,"5,4,3,3,3,3,3",3 / 3,3,2.5522,1.66667,156 / 514,5 - 6.58974 - 8,1,412
FEjfg,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.58377,1.5,112 / 368,6 - 6.57143 - 7,1,600
FEivo,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.61186,1.66667,136 / 456,5 - 6.70588 - 8,2,540
FEivg,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.65139,1.5,96 / 336,7 - 7 - 7,3,960
FEivW,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.54177,1.5,112 / 368,6 - 6.57143 - 7,1,720
FEhvo,7 / 12,"5,4,3,3,3,3,3",3 / 3,3,2.25469,1.33333,148 / 492,5 - 6.64865 - 8,1,560
FEhvg,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.54141,1.33333,96 / 336,7 - 7 - 7,3,960
FEhuw,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.5136,1.33333,96 / 336,7 - 7 - 7,3,960
FEhtw,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.2917,1.33333,120 / 380,6 - 6.33333 - 7,1,624
FEh}o,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.34508,1.33333,136 / 456,5 - 6.70588 - 8,2,528
FEhzo,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.5522,1.66667,144 / 520,5 - 7.22222 - 8,8,192
FEzf_,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.6167,1.66667,184 / 604,5 - 6.56522 - 8,1,422
FEzfO,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.7332,1.66667,144 / 480,6 - 6.66667 - 7,2,492
FEzeW,7 / 12,"4,4,4,4,4,2,2",2 / 2,3,2.9137,2,112 / 368,6 - 6.57143 - 7,1,600
FEzV_,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.53017,1.5,112 / 368,6 - 6.57143 - 7,1,600
FEzVO,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2,1.33333,144 / 520,5 - 7.22222 - 8,8,192
FEzTg,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.62071,1.33333,96 / 336,7 - 7 - 7,3,960
FEzPw,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.33444,1.33333,144 / 480,6 - 6.66667 - 7,2,492
FEnf_,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.77117,1.66667,172 / 568,5 - 6.60465 - 8,1,218
FEnbo,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.75226,1.66667,168 / 552,6 - 6.57143 - 7,4,400
FEndg,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.76691,1.66667,136 / 456,5 - 6.70588 - 8,2,528
FEnbg,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.32406,1.33333,172 / 586,5 - 6.81395 - 8,2,192
FEncw,7 / 12,"4,4,4,4,4,2,2",2 / 2,3,2.88055,1.33333,96 / 336,7 - 7 - 7,3,960
FEnaw,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.70417,1.66667,136 / 456,5 - 6.70588 - 8,2,492
FQhVw,7 / 12,"6,3,3,3,3,3,3",1 / 3,3,1.64575,1,144 / 576,8 - 8 - 8,9,1280
FQjfo,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.30394,1.33333,96 / 336,7 - 7 - 7,3,960
FQjfg,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.20904,1.33333,96 / 336,7 - 7 - 7,3,960
FQjew,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.12263,1.33333,112 / 368,6 - 6.57143 - 7,1,720
FQjVo,7 / 12,"5,4,3,3,3,3,3",2 / 3,3,1.80731,1,144 / 576,8 - 8 - 8,9,1280
FQjVg,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,1.89521,1,96 / 336,7 - 7 - 7,3,960
FQzV_,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.06888,1.33333,172 / 596,4 - 6.93023 - 8,3,454
FQzVO,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,1.99798,1,96 / 336,7 - 7 - 7,3,960
FQzUo,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.1445,1.33333,136 / 456,5 - 6.70588 - 8,2,240
FQzTo,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,1.94214,1,144 / 576,8 - 8 - 8,9,1280
FQzUW,7 / 12,"4,4,4,4,4,2,2",2 / 2,3,2.23154,1.33333,112 / 368,6 - 6.57143 - 7,1,600
FQyv_,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.31229,1.33333,168 / 568,5 - 6.7619 - 8,2,356
FQyvO,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.64575,1.33333,96 / 336,7 - 7 - 7,3,960
FQyuo,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.08901,1.33333,156 / 514,5 - 6.58974 - 8,1,196
FQyuW,7 / 12,"4,4,4,4,3,3,2",2 / 2,3,2.53925,1.5,112 / 368,6 - 6.57143 - 7,1,720
FQyqw,7 / 12,"4,4,4,3,3,3,3",2 / 3,3,1.9358,1.33333,168 / 592,5 - 7.04762 - 8,4,240
