graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
F?b~w,7 / 12,"6,6,3,3,2,2,2",2 / 2,3,3.30022,2,96 / 336,7 - 7 - 7,3,960
F?rvw,7 / 12,"6,5,3,3,3,2,2",2 / 2,3,2.90881,1.66667,112 / 368,6 - 6.57143 - 7,1,600
F?q~w,7 / 12,"6,5,4,3,2,2,2",2 / 2,3,3.05739,1.66667,96 / 336,7 - 7 - 7,3,960
F?r~o,7 / 12,"5,5,4,3,3,2,2",2 / 2,3,3.13235,1.66667,112 / 368,6 - 6.57143 - 7,1,600
F?zVw,7 / 12,"6,4,4,3,3,2,2",2 / 2,3,2.74943,1.66667,112 / 368,6 - 6.57143 - 7,1,720
F?zvo,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.88356,1.66667,144 / 480,6 - 6.66667 - 7,2,636
F?zvg,7 / 12,"5,5,3,3,3,3,2",2 / 2,3,2.77696,1.66667,144 / 480,6 - 6.66667 - 7,2,492
F?z^o,7 / 12,"5,5,4,3,3,2,2",2 / 2,3,2.96545,1.66667,112 / 368,6 - 6.57143 - 7,1,720
F?z\w,7 / 12,"5,5,5,3,2,2,2",2 / 2,3,3.21039,1.66667,96 / 336,7 - 7 - 7,3,960
F?~v_,7 / 12,"4,4,4,3,3,3,3",3 / 3,4,3.4641,2,216 / 648,4 - 6 - 7,3,84
FCRvw,7 / 12,"6,5,3,3,3,2,2",2 / 2,3,2.72672,1.5,96 / 336,7 - 7 - 7,3,960
FCR~o,7 / 12,"5,5,3,3,3,3,2",2 / 2,3,2.61393,1.66667,144 / 520,5 - 7.22222 - 8,8,192
FCrfw,7 / 12,"6,4,4,3,3,2,2",2 / 2,3,2.9534,1.66667,112 / 368,6 - 6.57143 - 7,1,720
FCpvw,7 / 12,"6,4,3,3,3,3,2",2 / 2,3,2.69639,1.66667,120 / 380,6 - 6.33333 - 7,1,648
FCqnw,7 / 12,"6,4,4,4,2,2,2",2 / 2,3,3.21039,2,96 / 336,7 - 7 - 7,3,960
FCrvo,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.73334,1.66667,136 / 456,5 - 6.70588 - 8,2,492
FCrvg,7 / 12,"5,5,4,3,3,2,2",2 / 2,3,2.8956,1.5,96 / 336,7 - 7 - 7,3,960
FCrrw,7 / 12,"5,5,3,3,3,3,2",2 / 2,3,2.84916,1.66667,136 / 456,5 - 6.70588 - 8,2,540
FCrno,7 / 12,"5,4,4,4,3,2,2",2 / 2,3,2.73869,1.66667,112 / 368,6 - 6.57143 - 7,1,720
FCrng,7 / 12,"5,5,4,3,3,2,2",2 / 2,3,2.80467,1.66667,112 / 368,6 - 6.57143 - 7,1,600
FCrlw,7 / 12,"5,5,4,4,2,2,2",2 / 2,3,2.80389,1.66667,96 / 336,7 - 7 - 7,3,960
FCrjw,7 / 12,"5,5,4,3,3,2,2",2 / 2,3,2.93602,1.5,96 / 336,7 - 7 - 7,3,960
FCZfw,7 / 12,"6,4,3,3,3,3,2",2 / 2,3,2.54953,1.5,112 / 368,6 - 6.57143 - 7,1,600
FCZVw,7 / 12,"6,4,3,3,3,3,2",2 / 2,3,2.24782,1.33333,96 / 336,7 - 7 - 7,3,960
FCZNw,7 / 12,"6,4,4,3,3,2,2",2 / 2,3,2.61397,1.5,96 / 336,7 - 7 - 7,3,960
FCY^w,7 / 12,"6,4,4,3,3,2,2",2 / 2,3,2.38836,1.33333,96 / 336,7 - 7 - 7,3,960
FCZvo,7 / 12,"5,4,3,3,3,3,3",2 / 3,3,2.20554,1.33333,168 / 592,5 - 7.04762 - 8,4,240
FCZvg,7 / 12,"5,5,3,3,3,3,2",2 / 2,3,2.44472,1.33333,96 / 336,7 - 7 - 7,3,960
FCZno,7 / 12,"5,4,4,3,3,3,2",2 / 2,3,2.34645,1.33333,112 / 368,6 - 6.57143 - 7,1,600
FCZng,7 / 12,"5,5,3,3,3,3,2",2 / 2,3,2.29241,1.33333,112 / 368,6 - 6.57143 - 7,1,600
FCZmw,7 / 12,"5,5,4,3,3,2,2",2 / 2,3,2.4184,1.33333,96 / 336,7 - 7 - 7,3,960
