graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
:Do?CQGr,5 / 8,"8,2,2,2,2",1 / 2,0,2,2,16 / 32,4 - 4 - 4,1,24
:DkGCQGr,5 / 8,"7,3,2,2,2",1 / 2,3,1.87224,1.5,16 / 32,4 - 4 - 4,1,24
:Dk?cQGr,5 / 8,"6,4,2,2,2",1 / 2,0,1.08239,1,16 / 32,4 - 4 - 4,1,24
:Dk@_QGr,5 / 8,"6,4,2,2,2",1 / 2,3,2.35064,2,16 / 32,4 - 4 - 4,1,24
:Dk?EQGr,5 / 8,"5,5,2,2,2",1 / 2,3,1.68474,1.5,16 / 32,4 - 4 - 4,1,24
:Dk@I@Gr,5 / 8,"5,5,2,2,2",2 / 2,3,3,2,16 / 32,4 - 4 - 4,1,24
:DgGcQGr,5 / 8,"6,3,3,2,2",1 / 2,4,1.47363,1.5,16 / 32,4 - 4 - 4,1,24
:DgH_QGr,5 / 8,"6,3,3,2,2",1 / 2,3,1.56155,1.5,16 / 32,4 - 4 - 4,1,24
:DgI_PGr,5 / 8,"6,3,3,2,2",1 / 2,3,2.35064,1.5,16 / 32,4 - 4 - 4,1,24
:DgGEQGr,5 / 8,"5,4,3,2,2",2 / 2,3,1.7923,1.5,16 / 32,4 - 4 - 4,1,24
:DgHEAGr,5 / 8,"5,4,3,2,2",1 / 2,3,1.21432,1,16 / 32,4 - 4 - 4,1,24
:DgGIPGr,5 / 8,"5,4,3,2,2",1 / 2,3,1.91745,1.5,16 / 32,4 - 4 - 4,1,24
:DgHI@Gr,5 / 8,"5,4,3,2,2",2 / 2,3,2.3174,1.5,16 / 32,4 - 4 - 4,1,24
:DgII@Cr,5 / 8,"5,4,3,2,2",1 / 2,4,1.47363,1.5,16 / 32,4 - 4 - 4,1,24
:Dka_@Cb,5 / 8,"6,3,3,2,2",1 / 2,3,1.87224,1,16 / 32,4 - 4 - 4,1,24
:Dk?IPGb,5 / 8,"5,4,3,2,2",1 / 2,3,1.68474,1,16 / 32,4 - 4 - 4,1,24
:Dk@I@Gb,5 / 8,"5,4,3,2,2",2 / 2,3,3,2,16 / 32,4 - 4 - 4,1,24
:DkAI@Cb,5 / 8,"5,4,3,2,2",1 / 2,3,2.35064,1.5,16 / 32,4 - 4 - 4,1,24
:DgGGhCb,5 / 8,"4,4,4,2,2",1 / 2,3,1.91745,1,16 / 32,4 - 4 - 4,1,24
:DgHGgCb,5 / 8,"4,4,4,2,2",2 / 2,3,2.3174,2,16 / 32,4 - 4 - 4,1,24
:Dk?GhCa,5 / 8,"4,4,4,2,2",1 / 2,0,0.732051,1,16 / 32,4 - 4 - 4,1,24
:Dk@GgCa,5 / 8,"4,4,4,2,2",2 / 2,4,2.44949,2,16 / 32,4 - 4 - 4,1,24
:DaHEaK~,5 / 8,"4,4,3,3,2",2 / 2,5,1.38197,1.5,16 / 32,4 - 4 - 4,1,24
:DaHIQK~,5 / 8,"4,4,3,3,2",2 / 2,3,2.53413,1.5,16 / 32,4 - 4 - 4,1,24
:DaWcaK~,5 / 8,"5,3,3,3,2",2 / 2,3,1.7923,1.5,16 / 32,4 - 4 - 4,1,24
:DaX_aK~,5 / 8,"5,3,3,3,2",2 / 2,4,2.44949,1.5,16 / 32,4 - 4 - 4,1,24
:DaY_QK~,5 / 8,"5,3,3,3,2",2 / 2,3,2.3174,1.5,16 / 32,4 - 4 - 4,1,24
:DaWEaK~,5 / 8,"4,4,3,3,2",2 / 2,3,1.7923,1.5,16 / 32,4 - 4 - 4,1,24
:DaWIQK~,5 / 8,"4,4,3,3,2",2 / 2,3,2.53413,1.5,16 / 32,4 - 4 - 4,1,24
:DaqI@Cb,5 / 8,"5,3,3,3,2",1 / 2,3,1.56155,1,16 / 32,4 - 4 - 4,1,24
:DaoChGb,5 / 8,"4,4,3,3,2",2 / 2,3,2.3174,1.5,16 / 32,4 - 4 - 4,1,24
:DaoGhCb,5 / 8,"4,4,3,3,2",2 / 2,3,1.7923,1.5,16 / 32,4 - 4 - 4,1,24
:DgPe?Gr,5 / 8,"5,3,3,3,2",1 / 2,4,1.47363,1,16 / 32,4 - 4 - 4,1,24
:DgP_HGr,5 / 8,"4,4,3,3,2",1 / 2,3,1.21432,1,16 / 32,4 - 4 - 4,1,24
:DgP_WGr,5 / 8,"4,4,3,3,2",2 / 2,3,1.7923,1,16 / 32,4 - 4 - 4,1,24
:DgXI?Cb,5 / 8,"5,3,3,3,2",1 / 2,3,2.65812,1.5,24 / 60,5 - 5 - 5,3,32
:DgW?XGb,5 / 8,"4,4,3,3,2",1 / 2,3,1.91744,1,16 / 32,4 - 4 - 4,1,24
:DgWCWGb,5 / 8,"4,4,3,3,2",2 / 2,3,1.7923,1.5,16 / 32,4 - 4 - 4,1,24
DN{,5 / 8,"4,4,3,3,2",2 / 2,3,2.96548,2,24 / 60,5 - 5 - 5,3,32
:Dk?ChCa,5 / 8,"4,4,3,3,2",1 / 2,4,1.47363,1,16 / 32,4 - 4 - 4,1,24
:Dk@CgCa,5 / 8,"4,4,3,3,2",2 / 2,4,2.44949,1.5,16 / 32,4 - 4 - 4,1,24
:D_JGgCb,5 / 8,"4,3,3,3,3",1 / 2,3,1.56155,1,16 / 32,4 - 4 - 4,1,24
Dr{,5 / 8,"4,3,3,3,3",3 / 3,3,3.23607,2,28 / 64,4 - 4.57143 - 5,1,20
:Dao?hCa,5 / 8,"4,3,3,3,3",2 / 2,5,1.38197,1,16 / 32,4 - 4 - 4,1,24
:DaoCgCa,5 / 8,"4,3,3,3,3",2 / 3,3,2.53414,1.5,24 / 60,5 - 5 - 5,3,32
:DaoGgCQ,5 / 8,"4,3,3,3,3",2 / 2,3,1.7923,1,16 / 32,4 - 4 - 4,1,24
