graph,num_vertex,num_edge,degrees,girth,vertex_conn,edge_conn,components,components1,components2,tau_num_vertex,tau_num_edge,tau_min_degree,tau_max_degree,tau_avg_degree,tau_regularity,min_UECBOs,spectral_gap,expansion
:Cw@IV,4,6,"6,2,2,2",0,1,2,1,1,1,8,12,3,3,3,3,6,1.73205,2
:Co`IV,4,6,"5,3,2,2",3,1,2,1,1,1,8,12,3,3,3,3,6,1.85898,1.5
:CoDIV,4,6,"4,4,2,2",0,1,2,1,1,1,8,12,3,3,3,3,6,1,1
:CoKIV,4,6,"4,4,2,2",3,2,2,1,1,1,8,12,3,3,3,3,6,2.56155,2
:CchQ,4,6,"4,3,3,2",4,2,2,1,1,1,8,12,3,3,3,3,6,2,1.5
:Cd`Q,4,6,"4,3,3,2",3,2,2,1,1,1,8,12,3,3,3,3,6,2.56155,1.5
:CpK@V,4,6,"4,3,3,2",3,1,2,1,1,1,8,12,3,3,3,3,6,1.85898,1
C~,4,6,"3,3,3,3",3,3,3,1,3,3,12,24,4,4,4,4,8,4,2
:Co@`N,4,6,"3,3,3,3",4,2,2,1,1,1,8,12,3,3,3,3,6,2,1
