graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
F?~v_,7 / 12,"4,4,4,3,3,3,3",3 / 3,4,3.4641,2,216 / 648,4 - 6 - 7,3,84
FCZvo,7 / 12,"5,4,3,3,3,3,3",2 / 3,3,2.20554,1.33333,168 / 592,5 - 7.04762 - 8,4,240
FCxvo,7 / 12,"5,4,3,3,3,3,3",3 / 3,3,2.70417,1.66667,160 / 524,6 - 6.55 - 8,1,514
FCzro,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.36151,1.33333,184 / 628,5 - 6.82609 - 8,2,246
FEhfw,7 / 12,"6,3,3,3,3,3,3",3 / 3,3,2.64575,1.66667,124 / 384,6 - 6.19355 - 7,1,624
FEjfo,7 / 12,"5,4,3,3,3,3,3",3 / 3,3,2.5522,1.66667,156 / 514,5 - 6.58974 - 8,1,412
FEhvo,7 / 12,"5,4,3,3,3,3,3",3 / 3,3,2.25469,1.33333,148 / 492,5 - 6.64865 - 8,1,560
FEzf_,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.6167,1.66667,184 / 604,5 - 6.56522 - 8,1,422
FEnf_,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.77117,1.66667,172 / 568,5 - 6.60465 - 8,1,218
FEnbo,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.75226,1.66667,168 / 552,6 - 6.57143 - 7,4,400
FEnbg,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.32406,1.33333,172 / 586,5 - 6.81395 - 8,2,192
FQzV_,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.06888,1.33333,172 / 596,4 - 6.93023 - 8,3,454
FQyv_,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.31229,1.33333,168 / 568,5 - 6.7619 - 8,2,356
FQyuo,7 / 12,"4,4,4,3,3,3,3",3 / 3,3,2.08901,1.33333,156 / 514,5 - 6.58974 - 8,1,196
FQyqw,7 / 12,"4,4,4,3,3,3,3",2 / 3,3,1.9358,1.33333,168 / 592,5 - 7.04762 - 8,4,240
