graph,num_vertex,num_edge,degrees,girth,vertex_conn,edge_conn,components,components1,components2,tau_num_vertex,tau_num_edge,tau_min_degree,tau_max_degree,tau_avg_degree,tau_regularity,min_UECBOs,spectral_gap,expansion
FCuvo,7,12,"5,4,4,4,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.60377,1.5
FCuvW,7,12,"5,4,4,4,3,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.67579,1.66667
FEhfw,7,12,"6,3,3,3,3,3,3",3,3,3,1,1,1,124,384,6,7,6.19355,-1,624,2.64575,1.66667
FEjfo,7,12,"5,4,3,3,3,3,3",3,3,3,1,1,1,156,514,5,8,6.58974,-1,412,2.5522,1.66667
FEjfg,7,12,"5,4,4,3,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.58377,1.5
FEivo,7,12,"5,4,4,3,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,540,2.61186,1.66667
FEivg,7,12,"5,4,4,4,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.65139,1.5
FEivW,7,12,"5,4,4,3,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.54177,1.5
FEhvo,7,12,"5,4,3,3,3,3,3",3,3,3,1,1,1,148,492,5,8,6.64865,-1,560,2.25469,1.33333
FEhvg,7,12,"5,4,4,3,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.54141,1.33333
FEhuw,7,12,"5,4,4,3,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.5136,1.33333
FEhtw,7,12,"5,4,4,3,3,3,2",3,2,2,1,1,1,120,380,6,7,6.33333,-1,624,2.2917,1.33333
FEh}o,7,12,"4,4,4,4,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,528,2.34508,1.33333
FEhzo,7,12,"4,4,4,4,3,3,2",3,2,2,1,8,8,144,520,5,8,7.22222,-1,192,2.5522,1.66667
FEzf_,7,12,"4,4,4,3,3,3,3",3,3,3,1,1,1,184,604,5,8,6.56522,-1,422,2.6167,1.66667
FEzfO,7,12,"4,4,4,4,3,3,2",3,2,2,1,2,2,144,480,6,7,6.66667,-1,492,2.7332,1.66667
FEzeW,7,12,"4,4,4,4,4,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.9137,2
FEzV_,7,12,"4,4,4,4,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.53017,1.5
FEzVO,7,12,"4,4,4,4,3,3,2",3,2,2,1,8,8,144,520,5,8,7.22222,-1,192,2,1.33333
FEzTg,7,12,"4,4,4,4,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.62071,1.33333
FEzPw,7,12,"4,4,4,4,3,3,2",3,2,2,1,2,2,144,480,6,7,6.66667,-1,492,2.33444,1.33333
FEnf_,7,12,"4,4,4,3,3,3,3",3,3,3,1,1,1,172,568,5,8,6.60465,-1,218,2.77117,1.66667
FEnbo,7,12,"4,4,4,3,3,3,3",3,3,3,1,4,4,168,552,6,7,6.57143,-1,400,2.75226,1.66667
FEndg,7,12,"4,4,4,4,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,528,2.76691,1.66667
FEnbg,7,12,"4,4,4,3,3,3,3",3,3,3,1,2,2,172,586,5,8,6.81395,-1,192,2.32406,1.33333
FEncw,7,12,"4,4,4,4,4,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.88055,1.33333
FEnaw,7,12,"4,4,4,4,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,492,2.70417,1.66667
FQhVw,7,12,"6,3,3,3,3,3,3",3,1,3,1,9,9,144,576,8,8,8,8,1280,1.64575,1
FQjfo,7,12,"5,4,4,3,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.30394,1.33333
FQjfg,7,12,"5,4,4,4,3,2,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.20904,1.33333
FQjew,7,12,"5,4,4,3,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.12263,1.33333
FQjVo,7,12,"5,4,3,3,3,3,3",3,2,3,1,9,9,144,576,8,8,8,8,1280,1.80731,1
FQjVg,7,12,"5,4,4,3,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,1.89521,1
FQzV_,7,12,"4,4,4,3,3,3,3",3,3,3,1,3,3,172,596,4,8,6.93023,-1,454,2.06888,1.33333
FQzVO,7,12,"4,4,4,4,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,1.99798,1
FQzUo,7,12,"4,4,4,4,3,3,2",3,2,2,1,2,2,136,456,5,8,6.70588,-1,240,2.1445,1.33333
FQzTo,7,12,"4,4,4,3,3,3,3",3,3,3,1,9,9,144,576,8,8,8,8,1280,1.94214,1
FQzUW,7,12,"4,4,4,4,4,2,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,600,2.23154,1.33333
FQyv_,7,12,"4,4,4,3,3,3,3",3,3,3,1,2,2,168,568,5,8,6.7619,-1,356,2.31229,1.33333
FQyvO,7,12,"4,4,4,4,3,3,2",3,2,2,1,3,3,96,336,7,7,7,7,960,2.64575,1.33333
FQyuo,7,12,"4,4,4,3,3,3,3",3,3,3,1,1,1,156,514,5,8,6.58974,-1,196,2.08901,1.33333
FQyuW,7,12,"4,4,4,4,3,3,2",3,2,2,1,1,1,112,368,6,7,6.57143,-1,720,2.53925,1.5
FQyqw,7,12,"4,4,4,3,3,3,3",3,2,3,1,4,4,168,592,5,8,7.04762,-1,240,1.9358,1.33333
