graph,num_vertex,num_edge,degrees,girth,vertex_conn,edge_conn,components,components1,components2,tau_num_vertex,tau_num_edge,tau_min_degree,tau_max_degree,tau_avg_degree,tau_regularity,min_UECBOs,spectral_gap,expansion
:EkHM@GbPN,6,10,"7,4,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.4257,1.5
:EkJM@CaPN,6,10,"7,4,3,2,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.41421,1
:EkGCYGrPN,6,10,"6,5,3,2,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.44504,1
:EkGChGrPN,6,10,"6,5,3,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.09715,1.5
:EkHCgGrPN,6,10,"6,5,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.39891,1
:EkGCxGbPN,6,10,"6,5,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.16619,1.33333
:EkHCwGbPN,6,10,"6,5,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.98104,1.33333
:EkHGwCbPN,6,10,"6,5,3,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.50952,1.5
:EkGKxCaPN,6,10,"6,5,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,0.960983,0.666667
:EkHKwCaPN,6,10,"6,5,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1.33333
:Eor_@CaLN,6,10,"8,3,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.94214,1
:Eo?MPGbLN,6,10,"7,4,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.64897,1
:Eo@M@GbLN,6,10,"7,4,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.75772,1.33333
:EoBM@CaLN,6,10,"7,4,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.28429,1
:Eo?CxGbLN,6,10,"6,5,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.17325,1
:Eo@GwCbLN,6,10,"6,5,3,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,3.37228,1.66667
:Eo?KxCaLN,6,10,"6,5,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.64897,0.666667
:Eo@KwCaLN,6,10,"6,5,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.75772,1.33333
:Ek?cYGrPN,6,10,"6,4,4,2,2,2",0,1,2,1,1,1,32,80,5,5,5,5,120,0.931851,1
:Ek?chGrPN,6,10,"6,4,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.6495,1
:Ek?cRgbPN,6,10,"5,5,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.79618,1
:Ek?cbcbPN,6,10,"5,5,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.22644,1
:Ek?crcaPN,6,10,"5,5,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.23462,1
:Ek@_YGrPN,6,10,"6,4,4,2,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.73205,1.33333
:Ek@_hGrPN,6,10,"6,4,4,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.81361,1.33333
:Ek@_bcbPN,6,10,"5,5,4,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.61803,1.33333
:Ek@gb_RPN,6,10,"5,5,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.22644,1.33333
:Ek@_rcaPN,6,10,"5,5,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.45701,1
:Ek@gr_QPN,6,10,"5,5,4,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.94324,1.33333
:EkGCxGbLN,6,10,"6,4,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.16619,1.33333
:EkHCwGbLN,6,10,"6,4,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.98104,1
:EkHGwCbLN,6,10,"6,4,4,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.50952,1.33333
:EkGKxCaLN,6,10,"6,4,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.73205,0.666667
:EkHKwCaLN,6,10,"6,4,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.4257,1.33333
:EkGCrcaLN,6,10,"5,5,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.16619,1
:EkHCr_aLN,6,10,"5,5,4,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.98104,1
:EkHGr_QLN,6,10,"5,5,4,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.50952,1.66667
:Eo?KxCaK~,6,10,"6,4,4,2,2,2",0,1,2,1,1,1,32,80,5,5,5,5,120,0.726542,0.666667
:Eo@KwCaK~,6,10,"6,4,4,2,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.8804,1.33333
:Eo?CrcaK~,6,10,"5,5,4,2,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.23607,1
:Eo@Gr_QK~,6,10,"5,5,4,2,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,2.82843,1.66667
:EgGcYGrPN,6,10,"6,4,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.0493,1
:EgGchGrPN,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.7975,1.33333
:EgGghCrPN,6,10,"6,4,3,3,2,2",5,1,2,1,1,1,32,80,5,5,5,5,120,1.11491,1
:EgGgxCbPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.27905,1.33333
:EgGcQgrPN,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.56155,1.33333
:EgGcacrPN,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.29972,1.33333
:EgGcbcbPN,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.3541,1.33333
:EgHaQGrPN,6,10,"7,3,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.23913,1.33333
:EgH_YGrPN,6,10,"6,4,3,3,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,1.41421,1.33333
:EgH_hGrPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.33529,1
:EgHcgGrPN,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.7975,1.5
:EgHggCrPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.23913,1
:EgHgwCbPN,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.22274,1.5
:EgH_QgrPN,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.7975,1.33333
:EgH_acrPN,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,0.682164,0.666667
:EgHca_rPN,6,10,"5,5,3,3,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,1.41421,1.33333
:EgH_bcbPN,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.93496,1.33333
:EgIaPGrPN,6,10,"7,3,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1.33333
:EgIe@GrPN,6,10,"7,3,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.78814,1.33333
:EgI_XGrPN,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.81361,1.33333
:EgIcWGrPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.6495,1
:EgI_hCrPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.45701,1
:EgIcgCrPN,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.94324,1.33333
:EgI_xCbPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.27905,1.33333
:EgIcwCbPN,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.22274,1.33333
:EgIgwCRPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.2055,1.33333
:EgIkwCQPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1.33333
:EgI_PgrPN,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.45701,1
:EgI_QcrPN,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.81361,1.33333
:EgIcQ_rPN,6,10,"5,5,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.73205,1.33333
:EgI_RcbPN,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.44098,1.33333
:EgIcR_bPN,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.93898,1.33333
:EgKGwCQKs,6,10,"7,3,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.4257,1.33333
:EgKKwCQGs,6,10,"7,3,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.70927,1
:EgK?RcaKs,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.09715,1.33333
:EgKCR_aKs,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.39891,1
:EgK?bcQKs,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.16619,1
:EgKCb_QKs,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.50952,1.5
:EgKGb_PKs,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1
:EgK?rcQGs,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1
:EgKCr_QGs,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.78814,1
:EgKGr_PGs,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.4257,1.33333
:EgK?PMaKs,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1
:EgK?QMQKs,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.50952,1.33333
:EgKCQMAKs,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.16619,1.33333
:EgK?RMQGs,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.09715,1.33333
:EgKCRMAGs,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.39891,0.666667
:EgGERgbPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.79749,1.33333
:EgGErcaPN,6,10,"5,4,4,3,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,1.61852,1.33333
:EgHEBgbPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.56155,1
:EgHEr_aPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,0.867919,0.666667
:EgGIPgrPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.44469,1
:EgGIQcrPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.31784,1
:EgGIRcbPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.93496,1
:EgGIbcRPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.93898,1
:EgGIrcQPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.45701,1
:EgHI@grPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.03079,1.33333
:EgHIQ_rPN,6,10,"5,4,4,3,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,2,1.5
:EgHIBcbPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.3541,1.5
:EgHIR_bPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.93496,1.33333
:EgHIb_RPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.44098,1.5
:EgHIr_QPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.94324,1.33333
:EgII@crPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.29972,1
:EgIIP_rPN,6,10,"5,4,4,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.0493,1
:EgIIBcRPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.56155,1
:EgIIR_RPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.79749,1
:EgIIr_PPN,6,10,"5,4,4,3,2,2",5,1,2,1,1,1,32,80,5,5,5,5,120,1.11491,1
:EgGcrcaLN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.79749,1.33333
:EgHcr_aLN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.33529,0.666667
:EgI_RcbLN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.44098,1.33333
:EgIcR_bLN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.93898,1
:EgI_rcQLN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.27905,1.33333
:EgIcr_QLN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.22274,1.33333
:EgIgr_PLN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.2055,1
:Eka_HCbPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.37988,1
:Eka_WCbPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.78814,1
:Eka_gCRPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1
:Ekagw?PPN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,0.960984,0.666667
:Eka_@cbPN,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.39891,1
:Eka_AcRPN,6,10,"5,5,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.44504,1
:Eka_Q_RPN,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.09715,1
:EkiM?CQLN,6,10,"7,3,3,3,2,2",3,1,2,1,3,3,48,144,6,6,6,6,160,2.49905,1
:Ekg?hCbLN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.98104,1
:EkgCgCbLN,6,10,"6,4,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.50952,1.33333
:EkgGgCRLN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1
:EkgGwCQLN,6,10,"6,4,3,3,2,2",3,1,2,1,3,3,48,144,6,6,6,6,160,2.91396,1.33333
:EkiGw?PLN,6,10,"6,4,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.73205,0.666667
:Ekg?QcbLN,6,10,"5,5,3,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.16619,1
:Ekg?acRLN,6,10,"5,5,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.44504,0.666667
:EkgCa_RLN,6,10,"5,5,3,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.09715,1.33333
:Ekg?bcQLN,6,10,"5,5,3,3,2,2",3,1,2,1,3,3,48,144,6,6,6,6,160,2.54621,1.33333
E@~w,6,10,"5,5,3,3,2,2",3,2,2,1,3,3,48,144,6,6,6,6,160,3.11106,1.66667
:EoAM@CaK~,6,10,"7,3,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.8804,1.33333
:EoaM?CQK~,6,10,"7,3,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.41421,1
:Eo?GxCaK~,6,10,"6,4,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.23607,1
:Eo@GwCaK~,6,10,"6,4,3,3,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,2.82843,1.33333
:EoAGwCQK~,6,10,"6,4,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.8804,1
:EoaKw?PG~,6,10,"6,4,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.41421,0.666667
:Eo?GbcQK~,6,10,"5,5,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.23607,0.666667
:Eo@Gb_QK~,6,10,"5,5,3,3,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,2.82843,1.33333
:EoAGr_PG~,6,10,"5,5,3,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.8804,1
:Ek?IPgbPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.23462,1
:Ek?IQcbPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.93898,1
:Ek?IacRPN,6,10,"5,4,4,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.44504,1
:Ek?IRcaPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.45701,1
:Ek?IbcQPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.70928,1
:Ek@I@gbPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.94324,1.33333
:Ek@IAcbPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.44098,1.33333
:Ek@Ia_RPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.09715,1.33333
:Ek@IBcaPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.94324,1.33333
:Ek@Ib_QPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.65647,1.33333
:EkAIAcRPN,6,10,"5,4,4,3,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.73205,1
:EkAIQ_RPN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.81361,1
:EkAIb_PPN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.45701,1
:Ek?cacbLN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.6495,1
:Ek?gbcQLN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.98104,1
:Ek@_acbLN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.81361,1
:Ek@gb_QLN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.50952,1.33333
:EkA_RcaLN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.61803,1.33333
:EkAcR_aLN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.22644,1
:EkA_bcQLN,6,10,"5,4,4,3,2,2",3,1,2,1,3,3,48,144,6,6,6,6,160,2.64149,1.33333
ED^w,6,10,"5,4,4,3,2,2",3,2,2,1,3,3,48,144,6,6,6,6,160,2.97458,1.66667
:EkAgb_PLN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.16619,1
:EkA_rcQHN,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.45701,0.666667
:EkAcr_QHN,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.94324,1.33333
:EkGGbcQK~,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.45701,1
:EkHGb_QK~,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.94324,1
:EkIGr_PG~,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1
:Ekg?rcQG~,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.23462,0.666667
:EkgCr_QG~,6,10,"5,4,4,3,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.94324,1.33333
:EkgGr_PG~,6,10,"5,4,4,3,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.2055,1
:Eg?ibMPLN,6,10,"4,4,4,4,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.70928,1
:Eg@ibM@LN,6,10,"4,4,4,4,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.65647,1.33333
ERlw,6,10,"4,4,4,4,2,2",3,2,2,1,3,3,48,144,6,6,6,6,160,2.56155,1.33333
:EgGcaMQK~,6,10,"4,4,4,4,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,2,1.33333
:EgGgbMPG~,6,10,"4,4,4,4,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.73205,1
:EgH_aMQK~,6,10,"4,4,4,4,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.31784,0.666667
:EgHcaMAK~,6,10,"4,4,4,4,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.31784,1.33333
:EgHgbM@G~,6,10,"4,4,4,4,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.81361,1.33333
:EgI_aMPK~,6,10,"4,4,4,4,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.44469,0.666667
:EgIcaM@K~,6,10,"4,4,4,4,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.03079,1.33333
:EgI_bMPG~,6,10,"4,4,4,4,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.93898,1
:EgIcbM@G~,6,10,"4,4,4,4,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.44098,1.33333
:Ek?gbMPGn,6,10,"4,4,4,4,2,2",0,1,2,1,1,1,32,80,5,5,5,5,120,0.554958,0.666667
:Ek@gbM@Gn,6,10,"4,4,4,4,2,2",4,2,2,1,1,1,32,80,5,5,5,5,120,1.61852,1.33333
:EaKCRgbLN,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.29972,1
:EaKCbcbLN,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.3541,1.33333
:EaKCrcaLN,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.79749,1.33333
:EaHEaksR,6,10,"4,4,4,3,3,2",6,2,2,1,1,1,32,80,5,5,5,5,120,1,1
:EaHEbgsR,6,10,"4,4,4,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.79129,1
:EaHIQksR,6,10,"4,4,4,3,3,2",4,2,2,1,1,1,32,80,5,5,5,5,120,2,1.33333
:EaHIRgsR,6,10,"4,4,4,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.36901,1.33333
:EaWeaKsR,6,10,"6,3,3,3,3,2",4,2,2,1,1,1,32,80,5,5,5,5,120,1.61852,1.33333
:EaWiQKsR,6,10,"6,3,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.7975,1.33333
:EaWmQGsR,6,10,"6,3,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.81361,1.33333
:EaWciKsR,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.79129,1.33333
:EaWghKsR,6,10,"5,4,3,3,3,2",4,2,2,1,1,1,32,80,5,5,5,5,120,1.41421,1.33333
:EaWcyGsR,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.03079,1.33333
:EaWgxGsR,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.36901,1.33333
:EaWkxGcR,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,1.29972,1
:EaX_iKsR,6,10,"5,4,3,3,3,2",3,2,2,1,1,1,32,80,5,5,5,5,120,2.03079,1.33333
:EaXggKsR,6,10,"5,4,3,3,3,2",4,2,2,1,1,1,32,80,5,5,5,5,120,1.61852,1.33333
