graph,num_vertex,num_edge,degrees,girth,vertex_conn,edge_conn,components,components1,components2,tau_num_vertex,tau_num_edge,tau_min_degree,tau_max_degree,tau_avg_degree,tau_regularity,min_UECBOs,spectral_gap,expansion
:Es?CQGrPN,6,10,"10,2,2,2,2,2",0,1,2,1,1,1,32,80,5,5,5,5,120,2.23607,2
:EoGCQGrPN,6,10,"9,3,2,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.94214,1.5
:Eo?cQGrPN,6,10,"8,4,2,2,2,2",0,1,2,1,1,1,32,80,5,5,5,5,120,1.23931,1
:Eo@_QGrPN,6,10,"8,4,2,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.28429,1.33333
:Eo?EQGrPN,6,10,"7,5,2,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.64897,1
:Eo@I@GrPN,6,10,"7,5,2,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.75772,1.66667
:Eo?CYGrPN,6,10,"6,6,2,2,2,2",0,1,2,1,1,1,32,80,5,5,5,5,120,1,0.666667
:Eo?ChGrPN,6,10,"6,6,2,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.17325,1.33333
:Eo@GwCbPN,6,10,"6,6,2,2,2,2",3,2,2,1,1,1,32,80,5,5,5,5,120,3.37228,2
:EkGcQGrPN,6,10,"8,3,3,2,2,2",4,1,2,1,1,1,32,80,5,5,5,5,120,1.41421,1.33333
:EkH_QGrPN,6,10,"8,3,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.70927,1.5
:EkJ_PGbPN,6,10,"8,3,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,2.28429,1.33333
:EkGEQGrPN,6,10,"7,4,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.83296,1.33333
:EkHEAGrPN,6,10,"7,4,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.37988,1
:EkHI@GrPN,6,10,"7,4,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.78814,1.33333
:EkGMPGbPN,6,10,"7,4,3,2,2,2",3,1,2,1,1,1,32,80,5,5,5,5,120,1.73205,1
