graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
:Bo@N,3 / 4,"4,2,2",1 / 2,0,1.41421,2,4 / 4,2 - 2 - 2,1,2
:BcH,3 / 4,"3,3,2",2 / 2,3,3,2,4 / 4,2 - 2 - 2,1,2
