graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
:Cw@IV,4 / 6,"6,2,2,2",1 / 2,0,1.73205,2,8 / 12,3 - 3 - 3,1,6
:Co`IV,4 / 6,"5,3,2,2",1 / 2,3,1.85898,1.5,8 / 12,3 - 3 - 3,1,6
:CoDIV,4 / 6,"4,4,2,2",1 / 2,0,1,1,8 / 12,3 - 3 - 3,1,6
:CoKIV,4 / 6,"4,4,2,2",2 / 2,3,2.56155,2,8 / 12,3 - 3 - 3,1,6
:CchQ,4 / 6,"4,3,3,2",2 / 2,4,2,1.5,8 / 12,3 - 3 - 3,1,6
:Cd`Q,4 / 6,"4,3,3,2",2 / 2,3,2.56155,1.5,8 / 12,3 - 3 - 3,1,6
:CpK@V,4 / 6,"4,3,3,2",1 / 2,3,1.85898,1,8 / 12,3 - 3 - 3,1,6
C~,4 / 6,"3,3,3,3",3 / 3,3,4,2,12 / 24,4 - 4 - 4,3,8
:Co@`N,4 / 6,"3,3,3,3",2 / 2,4,2,1,8 / 12,3 - 3 - 3,1,6
