ID	Staat	Bundesland	Regierungsbezirk	Landkreis	Verwaltungszusammenschluss	Ort	Ortsteil	Gemeindeteil	Ort2	Längengrad	Breitengrad	Autokennzeichen
18454	DE	RP	-	Landkreis Daun	Verbandsgemeinde Daun	Hörscheid	-	-	-	6.86667	50.2167	DAU
18455	DE	RP	-	Landkreis Daun	Verbandsgemeinde Kelberg	Hörschhausen	-	-	-	6.93333	50.25	DAU
18456	DE	TH	-	Wartburgkreis	-	Hörselberg	-	-	-	10.4185	50.9722	WAK
18457	DE	TH	-	Landkreis Gotha	Verwaltungsgemeinschaft Hörsel	Hörselgau	-	-	-	10.5833	50.9167	GTH
18458	DE	ST	-	Ohrekreis	Verwaltungsgemeinschaft Flechtingen	Hörsingen	-	-	-	11.1667	52.2833	OK
18459	DE	NW	Münster	Landkreis Steinfurt	-	Hörstel	-	-	-	7.58333	52.3167	ST
18460	DE	SH	-	Landkreis Rendsburg-Eckernförde	Amt Jevenstedt	Hörsten	-	-	-	9.58333	54.2333	RD
18461	DE	SH	-	Landkreis Schleswig-Flensburg	Amt Schafflund	Hörup	-	-	-	9.1	54.7333	SL
18462	DE	BY	Unterfranken	Landkreis Aschaffenburg	-	Hösbach	-	-	-	9.2	50	AB
18463	DE	BY	Oberbayern	Landkreis Rosenheim	Verwaltungsgemeinschaft Halfing	Höslwang	-	-	-	12.3333	47.95	RO
18464	DE	ST	-	Bördekreis	Verwaltungsgemeinschaft Obere Aller	Hötensleben	-	-	-	11.0167	52.1167	BÖ
18465	DE	BY	Mittelfranken	Landkreis Weißenburg-Gunzenhausen	Verwaltungsgemeinschaft Ellingen	Höttingen	-	-	-	11.0167	49.0667	WUG
18466	DE	SH	-	Landkreis Dithmarschen	Amt Tellingstedt	Hövede	-	-	-	9.3	54.25	HEI
18467	DE	NW	Detmold	Landkreis Paderborn	-	Hövelhof	-	-	-	8.65	51.8167	PB
18468	DE	RP	-	Landkreis Altenkirchen/Westerwald	Verbandsgemeinde Wissen	Hövels	-	-	-	7.76667	50.7833	AK
18469	DE	ST	-	Altmarkkreis Salzwedel	Verwaltungsgemeinschaft Arendsee-Kalbe	Höwisch	-	-	-	11.6167	52.8667	SAW
18470	DE	NW	Detmold	Landkreis Höxter	-	Höxter	-	-	-	9.38333	51.7667	HX
18471	DE	BY	Oberfranken	Kreisfreie Stadt Hof	-	Hof	-	-	-	11.9167	50.3167	HO
18472	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Bad Marienberg	Hof	-	-	-	8.01667	50.6667	WW
18473	DE	HE	Kassel	Landkreis Fulda	-	Hofbieber	-	-	-	9.83333	50.5833	FD
18474	DE	RP	-	Landkreis Ahrweiler	Verbandsgemeinde Adenau	Hoffeld	-	-	-	6.81667	50.3667	AW
18475	DE	SH	-	Landkreis Rendsburg-Eckernförde	Amt Bordesholm-Land	Hoffeld	-	-	-	10	54.2	RD
18476	DE	HE	Kassel	Landkreis Kassel	-	Hofgeismar	-	-	-	9.4	51.4833	KS
18477	DE	HE	Darmstadt	Main-Taunus-Kreis	-	Hofheim am Taunus	-	-	-	8.45	50.0833	MTK
18478	DE	BY	Unterfranken	Landkreis Haßberge	Verwaltungsgemeinschaft Hofheim in Unterfranken	Hofheim in Unterfranken	-	-	-	10.5333	50.1333	HAS
18479	DE	BY	Niederbayern	Landkreis Passau	-	Hofkirchen	-	-	-	13.1167	48.6833	PA
18480	DE	BY	Oberbayern	Landkreis Landsberg am Lech	Verwaltungsgemeinschaft Pürgen	Hofstetten	-	-	-	10.9667	48.0167	LL
18481	DE	BW	Freiburg	Ortenaukreis	Verwaltungsgemeinschaft Haslach im Kinzigtal	Hofstetten	-	-	-	8.06667	48.25	OG
18482	DE	BW	Freiburg	Ortenaukreis	Verwaltungsgemeinschaft Offenburg	Hohberg	-	-	-	7.91667	48.4167	OG
18483	DE	SN	Leipzig	Muldentalkreis	-	Hohburg	-	-	-	12.8	51.4167	MTL
18484	DE	HE	Gießen	Lahn-Dill-Kreis	-	Hohenahr	-	-	-	8.51667	50.6667	LDK
18485	DE	BY	Schwaben	Landkreis Donau-Ries	Verwaltungsgemeinschaft Ries	Hohenaltheim	-	-	-	10.5333	48.7833	DON
18486	DE	SH	-	Landkreis Steinburg	Amt Itzehoe-Land	Hohenaspe	-	-	-	9.53333	53.9833	IZ
18487	DE	BY	Niederbayern	Landkreis Freyung-Grafenau	-	Hohenau	-	-	-	13.4833	48.85	FRG
18488	DE	BY	Oberfranken	Landkreis Wunsiedel im Fichtelgebirge	-	Hohenberg an der Eger	-	-	-	12.2333	50.1	WUN
18489	DE	ST	-	Landkreis Stendal	Verwaltungsgemeinschaft Arneburg-Goldbeck	Hohenberg-Krusemark	-	-	-	11.9667	52.7333	SDL
18490	DE	BB	-	Landkreis Oberspreewald-Lausitz	Amt Ruhland	Hohenbocka	-	-	-	14	51.4333	OSL
18491	DE	MV	-	Landkreis Demmin	Amt Borrentin	Hohenbollentin	-	-	-	13.0167	53.7833	DM
18492	DE	BB	-	Landkreis Dahme-Spreewald	Amt Märkische Heide	Hohenbrück-Neu Schadow	-	-	-	13.916	52.0932	LDS
18493	DE	MV	-	Landkreis Demmin	Amt Demmin-Land	Hohenbrünzow	-	-	-	13.15	53.8167	DM
18494	DE	BY	Oberbayern	Landkreis München	-	Hohenbrunn	-	-	-	11.7	48.05	M
18495	DE	BB	-	Landkreis Elbe-Elster	Amt Schlieben	Hohenbucko	-	-	-	13.4667	51.7667	EE
18496	DE	BY	Oberpfalz	Landkreis Amberg-Sulzbach	-	Hohenburg	-	-	-	11.8	49.3	AS
18497	DE	MV	-	Landkreis Güstrow	Amt Teterow-Land	Hohen Demzin	-	-	-	12.55	53.7167	GÜ
18498	DE	ST	-	Bördekreis	Verwaltungsgemeinschaft "Börde" Wanzleben	Hohendodeleben	-	-	-	11.5	52.1	BÖ
18499	DE	MV	-	Landkreis Ostvorpommern	Amt Wolgast-Land	Hohendorf	-	-	-	13.7333	54.0167	OVP
18500	DE	SN	Dresden	Niederschlesischer Oberlausitzkreis	Verwaltungsverband Diehsa	Hohendubrau	-	-	-	14.6713	51.2444	NOL
18501	DE	ST	-	Landkreis Aschersleben-Staßfurt	-	Staßfurt	Hohenerxleben	-	-	11.65	51.85	ASL
18502	DE	MV	-	Landkreis Bad Doberan	Amt Doberan-Land	Hohenfelde	-	-	-	11.9167	54.0833	DBR
18503	DE	SH	-	Landkreis Stormarn	Amt Trittau	Hohenfelde	-	-	-	10.4667	53.6333	OD
18504	DE	SH	-	Landkreis Steinburg	Amt Horst	Hohenfelde	-	-	-	9.61667	53.85	IZ
18505	DE	SH	-	Landkreis Plön	Amt Lütjenburg-Land	Hohenfelde	-	-	-	10.5	54.3667	PLÖ
18506	DE	TH	-	Landkreis Weimarer Land	Verwaltungsgemeinschaft Kranichfeld	Hohenfelden	-	-	-	11.1667	50.8833	AP
18507	DE	BY	Oberpfalz	Landkreis Neumarkt in der Oberpfalz	-	Hohenfels	-	-	-	11.85	49.2	NM
18508	DE	BW	Freiburg	Landkreis Konstanz	-	Hohenfels	-	-	-	9.11667	47.8833	KN
18509	DE	RP	-	Landkreis Daun	Verbandsgemeinde Gerolstein	Hohenfels-Essingen	-	-	-	6.73333	50.25	DAU
18510	DE	BB	-	Landkreis Barnim	Amt Britz/Chorin	Hohenfinow	-	-	-	13.9333	52.8167	BAR
