ID	Staat	Bundesland	Regierungsbezirk	Landkreis	Verwaltungszusammenschluss	Ort	Ortsteil	Gemeindeteil	Ort2	Längengrad	Breitengrad	Autokennzeichen
1	DE	BW	Tübingen	Alb-Donau-Kreis	-	Nellingen	Aichen	-	-	9.80932	48.5288	UL
2	DE	BW	Tübingen	Alb-Donau-Kreis	-	Nellingen	Oppingen	-	-	9.82886	48.5419	UL
3	DE	BW	Tübingen	Alb-Donau-Kreis	-	Merklingen	Widderstall	-	-	9.7135	48.5315	UL
4	DE	BW	Tübingen	Alb-Donau-Kreis	-	Laichingen	Machtolsheim	-	-	9.74305	48.4943	UL
5	DE	BW	Tübingen	Alb-Donau-Kreis	-	Laichingen	Suppingen	-	-	9.71299	48.4591	UL
6	DE	BW	Tübingen	Alb-Donau-Kreis	-	Laichingen	Feldstetten	-	-	9.62827	48.477	UL
7	DE	BW	Tübingen	Alb-Donau-Kreis	-	Heroldstatt	Ennabeuren	-	-	9.65107	48.4428	UL
8	DE	BW	Tübingen	Alb-Donau-Kreis	-	Berghülen	Bühlenhausen	-	-	9.78091	48.4599	UL
9	DE	BW	Tübingen	Alb-Donau-Kreis	-	Berghülen	Treffensbuch	-	-	9.79387	48.4804	UL
10	DE	BW	Tübingen	Alb-Donau-Kreis	-	Dornstadt	Scharenstetten	-	-	9.85217	48.515	UL
11	DE	BW	Tübingen	Landkreis Reutlingen	-	Römerstein	Zainingen	-	-	9.54729	48.483	RT
12	DE	BW	Stuttgart	Landkreis Göppingen	-	Geislingen an der Steige	Türkheim	-	-	9.80322	48.586	GP
13	DE	BW	Stuttgart	Landkreis Göppingen	-	Geislingen an der Steige	Aufhausen	-	-	9.76622	48.5865	GP
14	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Sonderbuch	-	-	9.81177	48.4174	UL
15	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Asch	-	-	9.81953	48.4379	UL
16	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Gerhausen	-	-	9.80028	48.3996	UL
17	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Seißen	-	-	9.7449	48.4171	UL
18	DE	BW	Tübingen	Alb-Donau-Kreis	-	Blaubeuren	Wennenden	-	-	9.7449	48.4375	UL
19	DE	BW	Tübingen	Landkreis Reutlingen	-	Römerstein	Donnstetten	-	-	9.56578	48.5161	RT
20	DE	BW	Tübingen	Landkreis Biberach	-	Bad Schussenried	Dunzenhausen	-	-	9.68341	48.0186	BC
21	DE	BW	Tübingen	Landkreis Biberach	-	Eberhardzell	Füramoos	-	-	9.8934	47.9977	BC
22	DE	BW	Tübingen	Landkreis Biberach	-	Eberhardzell	Füramoos	Altbellamont	-	9.906	48.0002	BC
23	DE	BW	Tübingen	Landkreis Biberach	-	Biberach an der Riß	Bergerhausen	-	-	9.81281	48.1008	BC
24	DE	BW	Tübingen	Kreisfreie Stadt Ulm	-	Ulm	Jungingen	-	-	9.98902	48.4459	UL
13348	DE	SN	Dresden	Kreisfreie Stadt Dresden	-	Dresden	Langebrück	-	-	13.85	51.1333333	DD
13349	DE	RP	Koblenz	Landkreis Cochem-Zell	Verbandsgemeinde Kaisersesch	Leienkaul	-	-	-	7.0833333	50.2166667	COC
13350	DE	BW	Freiburg	Landkreis Konstanz	-	Aach	-	-	-	8.85	47.8511	KN
13351	DE	RP	-	Landkreis Trier-Saarburg	Verbandsgemeinde Trier-Land	Aach	-	-	-	6.6	49.7833	TR
13352	DE	NW	Köln	Kreisfreie Stadt Aachen	-	Aachen	-	-	-	6.1	50.7667	AC
13353	DE	BW	Stuttgart	Ostalbkreis	-	Aalen	-	-	-	10.1	48.8333	AA
13354	DE	HE	Darmstadt	Rheingau-Taunus-Kreis	-	Aarbergen	-	-	-	8.06667	50.25	RÜD
13355	DE	SH	-	Landkreis Steinburg	Amt Schenefeld	Aasbüttel	-	-	-	9.43333	54.0667	IZ
13356	DE	ST	-	Landkreis Wernigerode	Verwaltungsgemeinschaft Nordharz	Abbenrode	-	-	-	10.6167	51.9167	WR
13357	DE	ST	-	Landkreis Mansfelder Land	Verwaltungsgemeinschaft Wipper-Eine	Abberode	-	-	-	11.2833	51.6167	ML
13358	DE	BY	Mittelfranken	Landkreis Roth	-	Abenberg	-	-	-	10.9667	49.25	RH
13359	DE	BY	Niederbayern	Landkreis Kelheim	-	Abensberg	-	-	-	11.85	48.8167	KEH
13360	DE	RP	-	Landkreis Birkenfeld	Verbandsgemeinde Birkenfeld	Abentheuer	-	-	-	7.1	49.65	BIR
13361	DE	BY	Mittelfranken	Landkreis Weißenburg-Gunzenhausen	Verwaltungsgemeinschaft Gunzenhausen	Absberg	-	-	-	10.8833	49.15	WUG
13362	DE	BW	Stuttgart	Landkreis Heilbronn	-	Abstatt	-	-	-	9.29278	49.0711	HN
13363	DE	ST	-	Burgenlandkreis	Verwaltungsgemeinschaft Bad Kösen	Abtlöbnitz	-	-	-	11.7167	51.0833	BLK
13364	DE	TH	-	Kyffhäuserkreis	-	Abtsbessingen	-	-	-	10.7667	51.25	KYF
13365	DE	ST	-	Landkreis Wittenberg	Verwaltungsgemeinschaft Elbaue-Fläming	Abtsdorf	-	-	-	12.7167	51.9	WB
13366	DE	BW	Stuttgart	Ostalbkreis	-	Abtsgmünd	-	-	-	10	48.8833	AA
13367	DE	HE	Darmstadt	Landkreis Bergstraße	-	Abtsteinach	-	-	-	8.7875	49.5367	HP
13368	DE	BY	Unterfranken	Landkreis Kitzingen	-	Abtswind	-	-	-	10.3667	49.7667	KT
13369	DE	RP	-	Landkreis Bad Kreuznach	Verbandsgemeinde Meisenheim	Abtweiler	-	-	-	7.65	49.75	KH
13370	DE	BW	Tübingen	Landkreis Ravensburg	-	Achberg	-	-	-	9.71667	47.6333	RV
13371	DE	BW	Freiburg	Ortenaukreis	Verwaltungsgemeinschaft Achern	Achern	-	-	-	8.06667	48.6333	OG
13372	DE	NI	-	Landkreis Wolfenbüttel	Samtgemeinde Oderwald	Achim	-	-	-	10.6	52.0667	WF
13373	DE	NI	-	Landkreis Verden	-	Achim	-	-	-	9.01667	53.0333	VER
13374	DE	BY	Niederbayern	Landkreis Regen	Verwaltungsgemeinschaft Ruhmannsfelden	Achslach	-	-	-	12.9333	48.9667	REG
13375	DE	BW	Tübingen	Landkreis Biberach	Verwaltungsgemeinschaft Laupheim	Achstetten	-	-	-	9.9	48.2667	BC
13376	DE	RP	-	Landkreis Mayen-Koblenz	Verbandsgemeinde Vordereifel	Acht	-	-	-	7.06667	50.3667	MYK
13377	DE	RP	-	Landkreis Birkenfeld	Verbandsgemeinde Birkenfeld	Achtelsbach	-	-	-	7.08333	49.6167	BIR
13378	DE	SH	-	Landkreis Rendsburg-Eckernförde	Amt Achterwehr	Achterwehr	-	-	-	9.96667	54.3167	RD
13379	DE	SH	-	Landkreis Nordfriesland	Amt Karrharde	Achtrup	-	-	-	9.03333	54.7833	NF
13380	DE	ST	-	Ohrekreis	Verwaltungsgemeinschaft Hohe Börde	Ackendorf	-	-	-	11.4333	52.2167	OK
13381	DE	MV	-	Landkreis Müritz	Amt Malchow-Land	Adamshoffnung	-	-	-	12.3667	53.45	MÜR
13382	DE	BW	Stuttgart	Landkreis Göppingen	-	Adelberg	-	-	-	9.6	48.7667	GP
13383	DE	NI	-	Landkreis Göttingen	-	Adelebsen	-	-	-	9.75	51.5833	GÖ
13384	DE	NI	-	Landkreis Celle	Samtgemeinde Wathlingen	Adelheidsdorf	-	-	-	10.05	52.55	CE
13385	DE	BW	Stuttgart	Ostalbkreis	-	Adelmannsfelden	-	-	-	10.0167	48.95	AA
13386	DE	BY	Oberbayern	Landkreis Eichstätt	Verwaltungsgemeinschaft Nassenfels	Adelschlag	-	-	-	11.2167	48.8333	EI
13387	DE	BY	Mittelfranken	Landkreis Erlangen-Höchstadt	-	Adelsdorf	-	-	-	10.9	49.7167	ERH
13388	DE	BW	Karlsruhe	Neckar-Odenwald-Kreis	Verwaltungsgemeinschaft Seckachtal	Adelsheim	-	-	-	9.39333	49.4036	MOS
13389	DE	BY	Oberbayern	Landkreis Fürstenfeldbruck	-	Adelshofen	-	-	-	11.1167	48.1833	FFB
13390	DE	BY	Mittelfranken	Landkreis Ansbach	Verwaltungsgemeinschaft Rothenburg ob der Tauber	Adelshofen	-	-	-	10.1667	49.4333	AN
13391	DE	BY	Schwaben	Landkreis Augsburg	-	Adelsried	-	-	-	10.7167	48.4167	A
13392	DE	BY	Schwaben	Landkreis Aichach-Friedberg	Verwaltungsgemeinschaft Dasing	Adelzhausen	-	-	-	11.1333	48.35	AIC
13393	DE	RP	-	Landkreis Ahrweiler	Verbandsgemeinde Adenau	Adenau	-	-	-	6.93333	50.3833	AW
13394	DE	RP	-	Landkreis Kusel	Verbandsgemeinde Lauterecken	Adenbach	-	-	-	7.65	49.6667	KUS
13395	DE	NI	-	Landkreis Gifhorn	Samtgemeinde Papenteich	Adenbüttel	-	-	-	10.45	52.3833	GF
13396	DE	NI	-	Landkreis Lüneburg	-	Adendorf	-	-	-	10.45	53.2833	LG
13397	DE	NI	-	Landkreis Hildesheim	Samtgemeinde Sibesse	Adenstedt	-	-	-	9.93333	52	HI
13398	DE	ST	-	Landkreis Bernburg	-	Bernburg (Saale)	Aderstedt	-	-	11.6833	51.7667	BBG
13399	DE	ST	-	Landkreis Halberstadt	-	Huy	Aderstedt	-	-	11	52.0333	HBS
13400	DE	BY	Niederbayern	Landkreis Landshut	-	Adlkofen	-	-	-	12.2667	48.55	LA
13401	DE	MV	-	Landkreis Bad Doberan	Amt Doberan-Land	Admannshagen-Bargeshagen	-	-	-	11.9833	54.1167	DBR
13402	DE	SN	Chemnitz	Vogtlandkreis	-	Adorf	-	-	-	12.2667	50.3167	V
13403	DE	SH	-	Landkreis Steinburg	Amt Wilstermarsch	Aebtissinwisch	-	-	-	9.28333	53.9667	IZ
13404	DE	NI	-	Landkreis Hameln-Pyrmont	-	Aerzen	-	-	-	9.26667	52.0333	HM
13405	DE	BW	Stuttgart	Landkreis Ludwigsburg	-	Affalterbach	-	-	-	9.31667	48.9167	LB
13406	DE	BY	Schwaben	Landkreis Aichach-Friedberg	-	Affing	-	-	-	10.9833	48.4667	AIC
13407	DE	NI	-	Landkreis Diepholz	Samtgemeinde Schwaförden	Affinghausen	-	-	-	8.88333	52.7833	DH
13408	DE	RP	-	Landkreis Bitburg-Prüm	Verbandsgemeinde Neuerburg	Affler	-	-	-	6.15	50.0167	BIT
13409	DE	NI	-	Landkreis Stade	Samtgemeinde Horneburg	Agathenburg	-	-	-	9.53333	53.5667	STD
13410	DE	SH	-	Landkreis Steinburg	Amt Schenefeld	Agethorst	-	-	-	9.43333	54.0167	IZ
13411	DE	BW	Karlsruhe	Neckar-Odenwald-Kreis	Verwaltungsgemeinschaft Kleiner Odenwald	Aglasterhausen	-	-	-	8.98694	49.3569	MOS
13412	DE	BY	Niederbayern	Landkreis Landshut	Verwaltungsgemeinschaft Gerzen	Aham	-	-	-	12.4667	48.5333	LA
13413	DE	NW	Münster	Landkreis Borken	-	Ahaus	-	-	-	7	52.0667	BOR
13414	DE	NI	-	Landkreis Rotenburg (Wümme)	Samtgemeinde Sottrum	Ahausen	-	-	-	9.31667	53.0667	ROW
13415	DE	MV	-	Landkreis Uecker-Randow	Amt Ueckermünde-Land	Ahlbeck	-	-	-	14.2	53.6667	UER
13416	DE	MV	-	Landkreis Ostvorpommern	Amt Ahlbeck-Stettiner Haff	Ahlbeck	-	-	-	14.2	53.9333	OVP
13417	DE	NI	-	Landkreis Soltau-Fallingbostel	Samtgemeinde Ahlden	Ahlden (Aller)	-	-	-	9.55	52.7667	SFA
13418	DE	SH	-	Landkreis Rendsburg-Eckernförde	Amt Hütten	Ahlefeld	-	-	-	9.66667	54.4	RD
13419	DE	NW	Münster	Landkreis Warendorf	-	Ahlen	-	-	-	7.9	51.7667	WAF
13420	DE	NI	-	Landkreis Stade	Samtgemeinde Harsefeld	Ahlerstedt	-	-	-	9.45	53.4	STD
13421	DE	ST	-	Landkreis Mansfelder Land	Verwaltungsgemeinschaft Mansfelder Grund-Helbra	Ahlsdorf	-	-	-	11.4667	51.55	ML
13422	DE	TH	-	Landkreis Hildburghausen	Verwaltungsgemeinschaft Feldstein	Ahlstädt	-	-	-	10.6833	50.5333	HBN
13423	DE	ST	-	Altmarkkreis Salzwedel	Verwaltungsgemeinschaft Beetzendorf-Diesdorf	Ahlum	-	-	-	11	52.6833	SAW
13424	DE	HE	Kassel	Landkreis Kassel	-	Ahnatal	-	-	-	9.38333	51.35	KS
13425	DE	SH	-	Landkreis Schleswig-Flensburg	Amt Steinbergkirche	Ahneby	-	-	-	9.73333	54.7167	SL
13426	DE	NI	-	Landkreis Celle	Samtgemeinde Lachendorf	Ahnsbeck	-	-	-	10.3	52.6167	CE
13427	DE	NI	-	Landkreis Schaumburg	Samtgemeinde Eilsen	Ahnsen	-	-	-	9.0967	52.2562	SHG
13428	DE	BY	Niederbayern	Landkreis Straubing-Bogen	Verwaltungsgemeinschaft Rain	Aholfing	-	-	-	12.4667	48.95	SR
13429	DE	BY	Niederbayern	Landkreis Deggendorf	-	Aholming	-	-	-	12.9167	48.7333	DEG
13430	DE	BY	Oberfranken	Landkreis Coburg	-	Ahorn	-	-	-	10.95	50.2333	CO
13431	DE	BW	Stuttgart	Main-Tauber-Kreis	Verwaltungsgemeinschaft Boxberg/Ahorn	Ahorn	-	-	-	9.52694	49.5083	TBB
13432	DE	BY	Oberfranken	Landkreis Bayreuth	-	Ahorntal	-	-	-	11.4333	49.85	BT
13433	DE	RP	-	Landkreis Ahrweiler	Verbandsgemeinde Altenahr	Ahrbrück	-	-	-	6.98333	50.4667	AW
13434	DE	SH	-	Landkreis Ostholstein	-	Ahrensbök	-	-	-	10.5833	54.0167	OH
13435	DE	SH	-	Landkreis Stormarn	-	Ahrensburg	-	-	-	10.25	53.6833	OD
13436	DE	BB	-	Landkreis Barnim	Amt Ahrensfelde/Blumberg	Ahrensfelde	-	-	-	13.5833	52.5833	BAR
13437	DE	MV	-	Landkreis Nordvorpommern	Amt Ahrenshagen	Ahrenshagen-Daskow	-	-	-	12.5667	54.25	NVP
13438	DE	SH	-	Landkreis Nordfriesland	Amt Bredstedt-Land	Ahrenshöft	-	-	-	9.06667	54.55	NF
13439	DE	MV	-	Landkreis Nordvorpommern	Amt Darß/Fischland	Ahrenshoop	-	-	-	12.4333	54.3833	NVP
13440	DE	SH	-	Landkreis Nordfriesland	Amt Viöl	Ahrenviöl	-	-	-	9.2	54.5333	NF
13441	DE	SH	-	Landkreis Nordfriesland	Amt Viöl	Ahrenviölfeld	-	-	-	9.28333	54.5333	NF
13442	DE	BY	Schwaben	Landkreis Aichach-Friedberg	-	Aichach	-	-	-	11.1333	48.4667	AIC
13443	DE	BY	Niederbayern	Landkreis Passau	-	Aicha vorm Wald	-	-	-	13.3	48.6833	PA
13444	DE	BW	Stuttgart	Landkreis Göppingen	-	Aichelberg	-	-	-	9.56667	48.6333	GP
13445	DE	BY	Schwaben	Landkreis Günzburg	Verwaltungsgemeinschaft Ziemetshausen	Aichen	-	-	-	10.55	48.2333	GZ
13446	DE	BW	Freiburg	Landkreis Rottweil	Verwaltungsgemeinschaft Schramberg	Aichhalden	-	-	-	8.41667	48.2667	RW
13447	DE	BW	Tübingen	Landkreis Ravensburg	-	Aichstetten	-	-	-	10.0833	47.9	RV
13448	DE	BW	Stuttgart	Landkreis Esslingen	-	Aichtal	-	-	-	9.26667	48.6333	ES
13449	DE	BW	Stuttgart	Landkreis Esslingen	-	Aichwald	-	-	-	9.38333	48.7667	ES
13450	DE	BY	Niederbayern	Landkreis Passau	Verwaltungsgemeinschaft Aidenbach	Aidenbach	-	-	-	13.1	48.5667	PA
13451	DE	BY	Unterfranken	Landkreis Haßberge	Verwaltungsgemeinschaft Hofheim in Unterfranken	Aidhausen	-	-	-	10.4333	50.15	HAS
13452	DE	BW	Stuttgart	Landkreis Böblingen	-	Aidlingen	-	-	-	8.91667	48.6667	BB
13453	DE	BY	Niederbayern	Landkreis Kelheim	Verwaltungsgemeinschaft Mainburg	Aiglsbach	-	-	-	11.7167	48.7	KEH
13454	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Westerburg	Ailertchen	-	-	-	7.93333	50.6	WW
13455	DE	BY	Schwaben	Landkreis Aichach-Friedberg	-	Aindling	-	-	-	10.95	48.5167	AIC
13456	DE	BY	Oberbayern	Landkreis Berchtesgadener Land	-	Ainring	-	-	-	12.95	47.8167	BGL
13457	DE	BY	Schwaben	Landkreis Dillingen an der Donau	Verwaltungsgemeinschaft Holzheim	Aislingen	-	-	-	10.45	48.5	DLG
13458	DE	BY	Niederbayern	Landkreis Straubing-Bogen	Verwaltungsgemeinschaft Aiterhofen	Aiterhofen	-	-	-	12.6167	48.85	SR
13459	DE	BW	Freiburg	Landkreis Lörrach	-	Aitern	-	-	-	7.9	47.8	LÖ
13460	DE	BW	Tübingen	Landkreis Ravensburg	-	Aitrach	-	-	-	10.0833	47.9333	RV
13461	DE	BY	Schwaben	Landkreis Ostallgäu	Verwaltungsgemeinschaft Biessenhofen	Aitrang	-	-	-	10.5333	47.8167	OAL
13462	DE	ST	-	Landkreis Köthen	-	Aken	-	-	-	12.05	51.85	KÖT
13463	DE	BY	Oberbayern	Landkreis Rosenheim	Verwaltungsgemeinschaft Pfaffing	Albaching	-	-	-	12.1167	48.1167	RO
13464	DE	BW	Freiburg	Landkreis Waldshut	-	Albbruck	-	-	-	8.13333	47.6	WT
13465	DE	TH	-	Saale-Holzland-Kreis	Erfüllende Gemeinde Bad Klosterlausnitz	Albersdorf	-	-	-	11.7667	50.9	SHK
13466	DE	SH	-	Landkreis Dithmarschen	Amt Albersdorf	Albersdorf	-	-	-	9.28333	54.15	HEI
13467	DE	BW	Stuttgart	Landkreis Göppingen	-	Albershausen	-	-	-	9.56667	48.6833	GP
13468	DE	ST	-	Landkreis Merseburg-Querfurt	Verwaltungsgemeinschaft Weida-Land	Albersroda	-	-	-	11.7167	51.2833	MQ
13469	DE	ST	-	Landkreis Merseburg-Querfurt	Verwaltungsgemeinschaft Weida-Land	Alberstedt	-	-	-	11.6333	51.45	MQ
13470	DE	RP	-	Landkreis Südliche Weinstraße	Verbandsgemeinde Annweiler am Trifels	Albersweiler	-	-	-	8.03	49.2192	SÜW
13471	DE	BY	Unterfranken	Landkreis Kitzingen	-	Albertshofen	-	-	-	10.1667	49.7667	KT
13472	DE	RP	-	Landkreis Kusel	Verbandsgemeinde Kusel	Albessen	-	-	-	7.33333	49.5167	KUS
13473	DE	RP	-	Landkreis Alzey-Worms	Verbandsgemeinde Alzey-Land	Albig	-	-	-	8.12139	49.7736	AZ
13474	DE	RP	-	Donnersbergkreis	Verbandsgemeinde Göllheim	Albisheim (Pfrimm)	-	-	-	8.09667	49.6494	KIB
13475	DE	SH	-	Landkreis Herzogtum Lauenburg	Amt Ratzeburg-Land	Albsfelde	-	-	-	10.7	53.6833	RZ
13476	DE	BW	Tübingen	Zollernalbkreis	Verwaltungsgemeinschaft Albstadt	Albstadt	-	-	-	9.01667	48.2167	BL
13477	DE	NW	Köln	Landkreis Düren	-	Aldenhoven	-	-	-	6.28333	50.9	DN
13478	DE	BY	Niederbayern	Landkreis Passau	-	Aldersbach	-	-	-	13.0833	48.6	PA
13479	DE	BW	Freiburg	Landkreis Tuttlingen	Verwaltungsgemeinschaft Spaichingen	Aldingen	-	-	-	8.7	48.1	TUT
13480	DE	BY	Schwaben	Landkreis Donau-Ries	Verwaltungsgemeinschaft Ries	Alerheim	-	-	-	10.6167	48.85	DON
13481	DE	BY	Mittelfranken	Landkreis Weißenburg-Gunzenhausen	Verwaltungsgemeinschaft Altmühltal	Alesheim	-	-	-	10.8667	49.05	WUG
13482	DE	NW	Arnsberg	Landkreis Siegen-Wittgenstein	-	Bad Berleburg	Alertshausen	-	-	8.51623	51.0578	SI
13483	DE	BY	Schwaben	Landkreis Günzburg	Verwaltungsgemeinschaft Krumbach	Aletshausen	-	-	-	10.3833	48.2	GZ
13484	DE	RP	-	Landkreis Cochem-Zell	Verbandsgemeinde Zell	Alf	-	-	-	7.11667	50.05	COC
13485	DE	BW	Stuttgart	Rems-Murr-Kreis	-	Alfdorf	-	-	-	9.71667	48.85	WN
13486	DE	BY	Mittelfranken	Landkreis Nürnberger Land	Verwaltungsgemeinschaft Happurg	Alfeld	-	-	-	11.55	49.4333	LAU
13487	DE	NI	-	Landkreis Hildesheim	-	Alfeld (Leine)	-	-	-	9.83333	51.9833	HI
13488	DE	NI	-	Landkreis Osnabrück	Samtgemeinde Bersenbrück	Alfhausen	-	-	-	7.95	52.5	OS
13489	DE	RP	-	Landkreis Cochem-Zell	Verbandsgemeinde Ulmen	Alflen	-	-	-	7.03333	50.1833	COC
13490	DE	NI	-	Landkreis Rotenburg (Wümme)	Samtgemeinde Geestequelle	Alfstedt	-	-	-	9.06667	53.55	ROW
13491	DE	NW	Köln	Rhein-Sieg-Kreis	-	Alfter	-	-	-	7.01667	50.7333	SU
13492	DE	ST	-	Altmarkkreis Salzwedel	Verwaltungsgemeinschaft Südliche Altmark	Algenstedt	-	-	-	11.45	52.6	SAW
13493	DE	NI	-	Landkreis Hildesheim	-	Algermissen	-	-	-	9.96667	52.25	HI
13494	DE	HE	Kassel	Landkreis Hersfeld-Rotenburg	-	Alheim	-	-	-	9.66667	51.0333	HEF
13495	DE	ST	-	Bördekreis	-	Oschersleben (Bode)	Alikendorf	-	-	11.2833	51.9833	BÖ
13496	DE	RP	-	Landkreis Mayen-Koblenz	Verbandsgemeinde Untermosel	Alken	-	-	-	7.45	50.25	MYK
13497	DE	TH	-	Ilm-Kreis	Verwaltungsgemeinschaft Riechheimer Berg	Alkersleben	-	-	-	11.0333	50.85	IK
13498	DE	SH	-	Landkreis Nordfriesland	Amt Föhr-Land	Alkersum	-	-	-	8.51667	54.7167	NF
13499	DE	RP	-	Landkreis Birkenfeld	Verbandsgemeinde Herrstein	Allenbach	-	-	-	7.16667	49.75	BIR
13500	DE	RP	-	Rhein-Lahn-Kreis	Verbandsgemeinde Katzenelnbogen	Allendorf	-	-	-	8	50.2667	EMS
13501	DE	TH	-	Landkreis Saalfeld-Rudolstadt	Verwaltungsgemeinschaft Mittleres Schwarzatal	Allendorf	-	-	-	11.1667	50.65	SLF
13502	DE	HE	Kassel	Landkreis Waldeck-Frankenberg	-	Allendorf (Eder)	-	-	-	8.67917	51.0333	KB
13503	DE	HE	Gießen	Landkreis Gießen	-	Allendorf (Lumda)	-	-	-	8.83333	50.6833	GI
13504	DE	RP	-	Landkreis Bad Kreuznach	Verbandsgemeinde Rüdesheim	Allenfeld	-	-	-	7.66667	49.8667	KH
13505	DE	BW	Freiburg	Landkreis Konstanz	-	Allensbach	-	-	-	9.06667	47.7167	KN
13506	DE	ST	-	Ohrekreis	Verwaltungsgemeinschaft Flechtingen	Alleringersleben	-	-	-	11.1333	52.2167	OK
13507	DE	BY	Mittelfranken	Landkreis Roth	-	Allersberg	-	-	-	11.2411	49.2542	RH
13508	DE	BY	Oberbayern	Landkreis Freising	Verwaltungsgemeinschaft Allershausen	Allershausen	-	-	-	11.6	48.4333	FS
13509	DE	BW	Tübingen	Landkreis Biberach	Verwaltungsgemeinschaft Munderkingen	Alleshausen	-	-	-	9.61667	48.1	BC
13510	DE	BY	Oberbayern	Landkreis Fürstenfeldbruck	-	Alling	-	-	-	11.3	48.15	FFB
13511	DE	BY	Schwaben	Landkreis Augsburg	Verwaltungsgemeinschaft Nordendorf	Allmannshofen	-	-	-	10.8	48.6167	A
13512	DE	BW	Tübingen	Landkreis Biberach	Verwaltungsgemeinschaft Munderkingen	Allmannsweiler	-	-	-	9.6	48.0333	BC
13513	DE	BW	Tübingen	Alb-Donau-Kreis	Verwaltungsgemeinschaft Allmendingen	Allmendingen	-	-	-	9.71667	48.3333	UL
13514	DE	BW	Stuttgart	Rems-Murr-Kreis	Verwaltungsgemeinschaft Backnang	Allmersbach im Tal	-	-	-	9.46667	48.9	WN
13515	DE	ST	-	Landkreis Wernigerode	Verwaltungsgemeinschaft Brocken-Hochharz	Allrode	-	-	-	10.9667	51.6833	WR
13516	DE	ST	-	Landkreis Sangerhausen	Verwaltungsgemeinschaft Allstedt-Kaltenborn	Allstedt	-	-	-	11.3833	51.4	SGH
13517	DE	SH	-	Landkreis Nordfriesland	Amt Bredstedt-Land	Almdorf	-	-	-	9.01667	54.5833	NF
13518	DE	RP	-	Landkreis Altenkirchen/Westerwald	Verbandsgemeinde Altenkirchen	Almersbach	-	-	-	7.63333	50.6833	AK
13519	DE	NI	-	Landkreis Hildesheim	Samtgemeinde Sibesse	Almstedt	-	-	-	9.96667	52.05	HI
13520	DE	NW	Düsseldorf	Landkreis Wesel	-	Alpen	-	-	-	6.51667	51.5833	WES
13521	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Hachenburg	Alpenrod	-	-	-	7.86667	50.6333	WW
13522	DE	TH	-	Landkreis Sömmerda	Verwaltungsgemeinschaft Gramme-Aue	Alperstedt	-	-	-	11.05	51.1	SÖM
13523	DE	BW	Karlsruhe	Landkreis Freudenstadt	-	Alpirsbach	-	-	-	8.41667	48.3333	FDS
13524	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Ransbach-Baumbach	Alsbach	-	-	-	7.66667	50.4667	WW
13525	DE	HE	Darmstadt	Landkreis Darmstadt-Dieburg	-	Alsbach-Hähnlein	-	-	-	8.59583	49.7386	DA
13526	DE	RP	-	Landkreis Bitburg-Prüm	Verbandsgemeinde Irrel	Alsdorf	-	-	-	6.46667	49.8833	BIT
13527	DE	RP	-	Landkreis Altenkirchen/Westerwald	Verbandsgemeinde Betzdorf	Alsdorf	-	-	-	7.86667	50.7667	AK
13528	DE	NW	Köln	Landkreis Aachen	-	Alsdorf	-	-	-	6.16667	50.8833	AC
13529	DE	RP	-	Donnersbergkreis	Verbandsgemeinde Winnweiler	Alsenbrück-Langmeil	-	-	-	7.86667	49.5667	KIB
13530	DE	RP	-	Donnersbergkreis	Verbandsgemeinde Alsenz-Obermoschel	Alsenz	-	-	-	7.81667	49.7167	KIB
13531	DE	HE	Gießen	Vogelsbergkreis	-	Alsfeld	-	-	-	9.26667	50.75	VB
13532	DE	RP	-	Landkreis Alzey-Worms	Verbandsgemeinde Eich	Alsheim	-	-	-	8.34028	49.7681	AZ
13533	DE	ST	-	Landkreis Bernburg	Verwaltungsgemeinschaft Saale-Wipper	Alsleben (Saale)	-	-	-	11.6667	51.7	BBG
13534	DE	BW	Stuttgart	Landkreis Esslingen	-	Altbach	-	-	-	9.38333	48.7333	ES
13535	DE	SH	-	Landkreis Schleswig-Flensburg	Amt Kropp	Alt Bennebek	-	-	-	9.43333	54.3833	SL
13536	DE	ST	-	Bördekreis	Verwaltungsgemeinschaft Oschersleben (Bode)	Altbrandsleben	-	-	-	11.25	52.0667	BÖ
13537	DE	MV	-	Landkreis Bad Doberan	Amt Neubukow-Salzhaff	Alt Bukow	-	-	-	11.6	54	DBR
13538	DE	BB	-	Landkreis Oberspreewald-Lausitz	Amt Altdöbern	Altdöbern	-	-	-	14.0333	51.65	OSL
13539	DE	BW	Stuttgart	Landkreis Esslingen	-	Altdorf	-	-	-	9.26667	48.5833	ES
13540	DE	BW	Stuttgart	Landkreis Böblingen	-	Altdorf	-	-	-	9	48.6333	BB
13541	DE	BY	Mittelfranken	Landkreis Nürnberger Land	-	Altdorf	-	-	-	11.3572	49.3875	LAU
13542	DE	BY	Niederbayern	Landkreis Landshut	-	Altdorf	-	-	-	12.1167	48.5667	LA
