geonameid	name	latitude	longitude	country	admin1	admin2	population	elevation	gtopo30	timezone
3040051	Les Escaldes	42.5072869554153	1.53413772583008	AD	Andorra		15853		1350	Europe/Andorra
3041563	Andorra la Vella	42.5051514333831	1.51506185531616	AD	Andorra		20430		1011	Europe/Andorra
290594	Umm al Qaywayn	25.5652778	55.5533333	AE	Umm al Qaywayn		44411		8	Asia/Dubai
291074	Ra's al Khaymah	25.7911111	55.9427778	AE	Raʼs al Khaymah		115949		27	Asia/Dubai
291696	Khawr Fakkān	25.3391667	56.3561111	AE	Ash Shāriqah		33575		5	Asia/Dubai
292223	Dubai	25.2522222	55.28	AE	Dubayy		1137347		9	Asia/Dubai
292672	Sharjah	25.3622222	55.3911111	AE	Ash Shāriqah		543733		18	Asia/Dubai
292878	Al Fujayrah	25.1230556	56.3375	AE	Al Fujayrah		62415		15	Asia/Dubai
292913	Al `Ayn	24.1916667	55.7605556	AE	Abū Z̧aby		408733		280	Asia/Dubai
292932	`Ajmān	25.4061111	55.4427778	AE	‘Ajmān		226172		11	Asia/Dubai
292968	Abu Dhabi	24.4666667	54.3666667	AE	Abū Z̧aby		603492		14	Asia/Dubai
1123004	تالقان	36.73	69.53	AF	Takhār		64256		790	Asia/Kabul
1125155	شيندند	33.3	62.14	AF	Herat Province		29264		1071	Asia/Kabul
1125444	Sheberghān	36.6672222	65.7536111	AF	Jowzjān		55641		362	Asia/Kabul
1125896	Shāhrag	34.1083333	64.3033333	AF	Velāyat-e Ghowr		15967		2393	Asia/Kabul
1127110	Sar-e Pol	36.2155556	65.9363889	AF	Sar-e Pol		52121		629	Asia/Kabul
1127628	Sang-e Chārak	35.8497222	66.4369444	AF	Sar-e Pol		15377		1547	Asia/Kabul
1127768	Samangān	36.2652778	68.0166667	AF	Velāyat-e Samangān		47823		960	Asia/Kabul
1128265	Rostāq	37.1275	69.8305556	AF	Takhār		25636		1323	Asia/Kabul
1129516	Qarqīn	37.4127778	66.0472222	AF	Jowzjān		15018		250	Asia/Kabul
