	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"averageall"	"sum"
"average"	10,899	15,049	18,898	12,523	33,814	21,324	36,537	26,862	32,630		
"min"	3,660	2,990	6,425	4,439	11,805	2,559	23,517	3,448	29,106		
"max"	19,020	32,804	32,452	42,647	45,298	34,795	49,558	51,800	36,155		
											
"p4-3200-debian-lenny"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	7,397	3,017	5,920	3,345	11,972	2,393		7,463		5,930	
"anubis"								33,347		33,347	
"blowfish"	7,076	28,528	38,985	41,500	45,110	31,132	26,597	52,293		33,903	
"cast5"	20,171	32,796	27,593	34,194	33,020	28,300		42,350		31,203	
"cast6"		19,330	12,548	25,920						19,266	
"gost"		14,619	18,593	24,516						19,243	
"khazad"								9,641		9,641	
"loki97"		6,803								6,803	
"noekeon"								36,125		36,125	
"rijndael"	14,615	10,764	24,204	25,717	42,616	34,414	23,591	42,051	36,341	28,257	
"saferplus"		4,565						3,523		4,044	
"serpent"	6,564	7,166	11,662	18,296		6,311			27,296	13,122	
"skipjack"								10,137		10,137	
"twofish"	18,483	27,281	21,678	28,673		23,873		47,517		27,918	
"xtea"		10,617	23,135	17,969				26,747		19,617	
"average"	12,384	15,044	20,480	24,459	33,179	21,071	25,094	28,290	31,819		
"min"	6,564	3,017	5,920	3,345	11,972	2,393	23,591	3,523	27,296		
"max"	20,171	32,796	38,985	41,500	45,110	34,414	26,597	52,293	36,341		
											
"p4-3200-ubuntu-gutsy"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	3,804	3,461	6,296	4,336	11,878	2,434		5,700		5,416	
"anubis"								28,005		28,005	
"blowfish"	6,593	40,597	37,651	31,028	45,176	30,707	49,416	51,821		36,623	
"cast5"	21,024	26,482	29,277	28,300	33,835	28,386		41,704		29,858	
"cast6"		16,559	12,697	15,276						14,844	
"gost"		20,669	16,789	11,352						16,270	
"khazad"								16,772		16,772	
"loki97"		11,395								11,395	
"noekeon"								32,690		32,690	
"rijndael"	14,028	12,769	21,926	20,714	44,485	34,379	23,293	42,247	35,626	27,719	
"saferplus"		5,213						3,036		4,124	
"serpent"	5,119	9,806	7,110	11,624		6,291			28,183	11,646	
"skipjack"								8,985		8,985	
"twofish"	16,997	31,124	22,810	28,770		23,370		34,083		26,192	
"xtea"		21,858	23,272	11,062				26,936		20,782	
